ADA-Close,BTC-Close,ETC-Close,ETH-Close,LINK-Close,LTC-Close,TRX-Close,XRP-Close
0.032053,7143.580078,14.2095,320.884003,0.223969,64.269699,0.002344,0.217488
0.027119,6618.140137,14.6031,299.252991,0.187602,59.260101,0.002013,0.206483
0.027437,6357.600098,19.4209,314.681,0.17977,62.303299,0.002003,0.21043
0.023977,5950.069824,15.1837,307.90799,0.170898,59.005402,0.001783,0.197339
0.025808,6559.490234,16.1059,316.716003,0.183071,61.3965,0.002112,0.203442
0.02623,6635.75,17.865999,337.631012,0.188114,62.6796,0.002485,0.209825
0.026445,7315.540039,17.548,333.356995,0.186138,63.823601,0.002322,0.212956
0.02758,7871.689941,16.880699,330.924011,0.169761,71.060204,0.002209,0.227107
0.025773,7708.990234,17.244499,332.394012,0.159649,67.569,0.001984,0.226581
0.026369,7790.149902,17.7185,347.612,0.170872,69.6437,0.002028,0.228627
0.028084,8036.490234,17.916599,354.385986,0.162354,71.589302,0.002002,0.231016
0.029581,8200.639648,18.394899,366.730011,0.162183,72.2528,0.002134,0.238759
0.02833,8071.259766,17.7997,360.401001,0.154972,70.028297,0.002143,0.233271
0.028549,8253.549805,17.992001,380.652008,0.168515,71.892799,0.002302,0.238859
0.027444,8038.77002,18.225,410.165985,0.164384,73.223396,0.002105,0.242402
0.028382,8253.69043,21.448799,474.911011,0.192921,77.9683,0.002025,0.244642
0.030447,8790.919922,21.705601,466.276001,0.180959,88.816902,0.002048,0.252393
0.036332,9330.549805,22.216,471.329987,0.182888,85.926804,0.002138,0.248818
0.050593,9818.349609,25.7535,480.355011,0.184168,91.602699,0.002062,0.253927
0.119744,10058.79981,33.9828,472.902008,0.176424,96.033798,0.002308,0.299152
0.089718,9888.610352,25.4223,427.52301,0.145255,85.570999,0.002068,0.243064
0.119883,10233.59961,28.188999,447.114014,0.170461,88.330704,0.002244,0.250878
0.131352,10975.59961,31.203699,466.540009,0.177823,99.0037,0.002118,0.255699
0.132351,11074.59961,30.7999,463.449005,0.207898,100.283997,0.002073,0.255492
0.131807,11323.2002,30.4575,465.852997,0.230629,101.263,0.002116,0.252558
0.13587,11657.2002,30.396799,470.20401,0.229581,104.236,0.002144,0.253571
0.127488,11916.7002,30.386101,463.281006,0.313877,102.397003,0.002085,0.246101
0.117839,14291.5,27.8636,428.588013,0.29157,100.351997,0.003055,0.232544
0.105501,17899.69922,26.8216,434.40799,0.260064,98.292397,0.004275,0.222823
0.115465,16569.40039,30.0527,456.031006,0.245226,124.846001,0.004394,0.252125
0.119609,15178.2002,29.092699,473.502014,0.238859,155.242004,0.004473,0.244708
0.110281,15455.40039,26.5075,441.721008,0.252898,148.660004,0.004408,0.237333
0.121383,16936.80078,27.642099,515.135986,0.260592,214.203003,0.005282,0.251691
0.133891,17415.40039,30.318501,651.43103,0.231424,316.158997,0.007613,0.373541
0.134281,16408.19922,29.7204,702.767029,0.261878,302.60199,0.01646,0.471063
0.240753,16564,31.961901,695.815979,0.308503,279.328003,0.01769,0.864263
0.213467,17706.90039,32.085098,684.447998,0.320793,299.778992,0.018434,0.756181
0.404665,19497.40039,34.7784,696.208984,0.341393,298.971985,0.036271,0.758642
0.513011,19140.80078,34.786598,719.974976,0.417596,318.718994,0.03619,0.728366
0.518198,19114.19922,39.397598,794.64502,0.434907,358.335999,0.044589,0.778407
0.531273,17776.69922,40.270199,826.822998,0.439356,350.252991,0.046848,0.791257
0.486151,16624.59961,44.047501,819.085999,0.372796,314.621002,0.048883,0.775964
0.477851,15802.90039,42.1007,821.062988,0.424287,317.462006,0.045969,1.19306
0.40715,13831.79981,30.958799,674.859985,0.426878,264.932007,0.039074,1.13828
0.414027,14699.2002,32.724998,719.387024,0.57768,288.265991,0.051791,1.17434
0.390029,13925.79981,30.7833,694.14801,0.544162,275.980011,0.036209,1.04395
0.416363,14026.59961,32.3526,765.833984,0.501933,273.390015,0.035177,1.12232
0.428465,16099.79981,32.901901,773.835999,0.521421,286.503998,0.037832,1.18949
0.414176,15838.5,32.1353,762.84198,0.505501,272.174011,0.036831,1.39964
0.407701,14606.5,29.526501,737.02301,0.506697,249.929993,0.041974,1.43088
0.529299,14656.2002,30.0345,753.59198,0.486348,245.501999,0.036348,2.2146
0.639243,12952.2002,26.9158,717.257019,0.586128,218.962997,0.036413,2.15902
0.719695,14156.40039,27.997999,756.732971,0.601552,232.095993,0.044752,2.30057
0.728657,13657.2002,34.1679,772.640991,0.733563,229.033005,0.051695,2.39103
0.782587,14982.09961,34.917099,884.44397,0.673712,255.684006,0.078682,2.4809
1.07966,15201,34.8634,962.719971,0.681167,245.367996,0.094703,3.10537
1.11412,15599.2002,36.318001,980.921997,0.984368,241.369995,0.207974,3.19663
0.999559,17429.5,36.199501,997.719971,0.907486,249.270996,0.220555,3.04871
1.02715,17527,38.424801,1041.680054,1.06357,296.45401,0.174797,3.09397
1.00852,16477.59961,40.793098,1153.170044,1.27046,288.450989,0.199655,3.37781
0.899002,15170.09961,34.186298,1148.530029,1.3773,255.763,0.151993,2.45621
0.814743,14595.40039,38.321602,1299.73999,1.22828,247.037003,0.124782,2.10178
0.793121,14973.29981,36.952202,1255.819946,1.18871,250.518005,0.129553,1.97492
0.688412,13405.79981,32.7939,1154.930054,1.01033,229.365997,0.10908,1.9508
0.897508,13980.59961,36.4039,1273.199951,1.05156,236.856003,0.108858,2.04323
0.884124,14360.2002,42.393902,1396.420044,1.10123,259.192993,0.103035,2.02135
0.802262,13772,42.957298,1366.77002,1.01084,238.675003,0.084782,1.86119
0.778587,13819.79981,40.495602,1291.920044,0.877688,232.774002,0.075694,1.67673
0.626493,11490.5,28.4573,1053.689941,0.756453,188.330994,0.054488,1.17924
0.629102,11188.59961,29.1236,1014.25,0.698634,186.516006,0.075623,1.30634
0.659843,11474.90039,30.186199,1036.280029,0.74423,192.837006,0.083179,1.59658
0.650498,11607.40039,31.7043,1039.099976,0.812905,192.964005,0.080499,1.55205
0.70751,12899.2002,35.009102,1155.150024,1.2193,211.018005,0.085201,1.57862
0.613163,11600.09961,30.3221,1049.579956,0.887828,190.421005,0.071186,1.38004
0.570458,10931.40039,29.264601,1003.26001,0.802858,180.007996,0.071412,1.35735
0.56307,10868.40039,28.366501,986.229004,0.801917,177.807007,0.068572,1.33707
0.622208,11359.40039,29.604099,1058.780029,0.792863,179.987,0.070421,1.35715
0.637495,11259.40039,29.194201,1056.030029,0.760437,180.272003,0.068766,1.31223
0.623382,11171.40039,28.795099,1055.170044,0.709853,176.733994,0.06663,1.21727
0.616833,11440.7002,29.4935,1107.069946,0.780675,180.886002,0.068422,1.21911
0.670286,11786.29981,32.9006,1246.01001,0.760601,193.865005,0.065495,1.3996
0.623204,11296.40039,31.714899,1182.359985,0.697712,181.664001,0.064001,1.32397
0.531913,10106.29981,27.133699,1071.130005,0.596778,165.276001,0.053761,1.13856
0.519315,10221.09961,28.7572,1118.310059,0.620146,163.350998,0.054454,1.16239
0.421672,9170.540039,24.969999,1036.790039,0.520347,142.296997,0.046227,0.96253
0.390534,8830.75,23.0728,915.784973,0.494574,131.378998,0.040799,0.884784
0.438836,9174.910156,24.196699,964.018982,0.518558,160.25,0.044472,0.924043
0.379303,8277.009766,21.037399,834.682007,0.434371,148.024994,0.037933,0.815703
0.327371,6955.27002,16.5268,697.950989,0.341506,125.330002,0.030161,0.691799
0.369753,7754,19.3885,793.122009,0.425248,142.990997,0.036478,0.776393
0.340447,7621.299805,18.157499,757.067993,0.376771,138.203003,0.032746,0.723895
0.356584,8265.589844,21.793501,817.807007,0.41108,149.466003,0.036725,0.805263
0.391602,8736.980469,25.997999,883.86499,0.435194,163.949997,0.047968,0.954428
0.405872,8621.900391,24.515499,860.414978,0.419874,155.593002,0.048699,1.07074
0.369769,8129.970215,24.129,814.659973,0.416157,148.990005,0.042401,1.00416
0.384315,8926.570313,29.8815,868.70697,0.490282,161.565994,0.046116,1.08101
0.373314,8598.30957,33.9613,845.257996,0.570759,159.554001,0.043356,1.02741
0.396908,9494.629883,35.041801,923.560974,0.568253,213.358994,0.045936,1.14162
0.409368,10166.40039,34.531799,936.976013,0.565251,225.425995,0.046496,1.14686
0.40381,10233.90039,35.034,944.210022,0.639628,230.123993,0.052449,1.13803
0.419883,11112.7002,34.9865,974.11499,0.672487,229.464996,0.054914,1.20498
0.385618,10551.79981,34.880001,923.921021,0.761761,215.735992,0.049606,1.12046
0.391472,11225.29981,39.293999,943.86499,0.774362,223.057007,0.051542,1.14442
0.378779,11403.7002,38.469799,895.370972,0.699926,232.850998,0.046861,1.08946
0.364441,10690.40039,36.633099,849.971008,0.653669,213.352005,0.04458,1.01539
0.337871,10005,32.806499,812.844971,0.601923,195.307999,0.040674,0.941788
0.345258,10301.09961,38.039799,864.189026,0.674791,209.309006,0.042875,0.998855
0.322966,9813.070313,38.842701,840.515015,0.650958,209.421997,0.040929,0.954402
0.344033,9664.730469,36.4128,844.809998,0.675715,220.475006,0.039883,0.943487
0.338335,10366.7002,36.079201,869.315002,0.691446,220.962006,0.041769,0.956859
0.335536,10725.59961,36.2481,878.265015,0.723957,216.598999,0.042731,0.947305
0.312581,10397.90039,33.694302,855.198975,0.661447,202.895004,0.04335,0.904583
0.304397,10951,33.761002,872.200012,0.663065,209.75,0.048847,0.928347
0.293504,11086.40039,30.7659,856.853027,0.652742,212.556,0.052947,0.910144
0.297106,11489.7002,29.190399,857.224976,0.628706,210.643005,0.048918,0.907804
0.300787,11512.59961,29.685499,866.677979,0.592818,213.798996,0.047801,1.00554
0.297622,11573.29981,26.843201,853.684021,0.586738,211.175003,0.046776,0.959368
0.285357,10779.90039,25.0987,816.950989,0.53387,196.600998,0.043958,0.922887
0.247281,9965.570313,22.117001,752.830994,0.521148,185.839005,0.038601,0.87121
0.221743,9395.009766,22.667601,704.596008,0.486422,176.511002,0.036425,0.825857
0.222207,9337.549805,22.4755,728.916016,0.480877,187.167999,0.036981,0.849761
0.209873,8866,20.911699,686.890015,0.46771,177.731995,0.034928,0.796627
0.223498,9578.629883,21.575399,723.338989,0.513524,188.945999,0.038716,0.831122
