AAL-close,AAPL-close,AAP-close,ABBV-close,ABC-close,ABT-close,ACN-close,ADBE-close,ADI-close,ADM-close,ADP-close,ADSK-close,ADS-close,AEE-close,AEP-close,AES-close,AET-close,AFL-close,AGN-close,AIG-close,AIV-close,AIZ-close,AJG-close,AKAM-close,ALB-close,ALGN-close,ALK-close,ALL-close,ALXN-close,AMAT-close
14.75,67.8542,78.9,36.25,46.89,34.41,73.31,39.12,45.7,30.22,60.925,38.89,154.08,32.61,44.57,11.07,50.6,50.35,87.45,38.79,28.57,38.56,37.97,35.42,62.66,32.73,24.335,45.14,93.66,13.61
14.46,68.5614,78.39,35.85,46.76,34.26,73.07,38.64,46.08,30.28,60.34,38.89,153.42,32.84,44.73,11.2,50.38,50.26,86.66,39.45,28.92,38.48,37.88,35.31,62.76,33.03,24.4,45.25,92.3,13.66
14.27,66.8428,78.6,35.42,46.96,34.3,73.37,38.89,46.27,30.81,60.36,38.91,152.32,33.15,44.9,11.31,50.15,49.5,85.78,38.63,29.16,41.05,37.82,36.74,62.7,33.02,24.43,45.61,90.21,13.66
14.66,66.7156,78.97,35.27,46.64,34.46,73.56,38.81,46.26,31.16,60.45,38.66,152.32,33.28,44.93,11.34,49.51,48.65,86.73,38.87,28.9,41.39,38.54,37.31,66.15,32.75,24.76,45.88,92.01,13.77
13.99,66.6556,78.84,36.57,46.77,34.7,73.13,38.61,46.54,31.4,60.74,38.67,152.37,33.14,44.77,11.21,49.56,48.83,86.49,39.21,28.97,42.01,38.82,37.87,65.41,32.56,24.355,45.88,87.63,13.89
14.5,65.7371,79,37.58,46.6,35.08,74.16,38.635,46.175,32.57,61.22,39,155.41,33.13,45.13,11.17,49.2,49.34,85.24,38.35,29.12,41.84,38.87,38.49,65.42,32.73,24.49,45.85,86.01,13.74
14.26,65.7128,80.72,38.19,47.22,34.82,75.4,38.995,47.01,33.08,61.46,38.98,154.94,33.24,45.56,11.37,48.71,49.53,84.81,38.6,29.58,42.21,38.85,38.58,65.84,32.6,25.15,46.74,83.39,13.89
13.33,64.1214,79.5,38.61,46.61,34.52,75,38.77,45.79,32.5,61.21,38.73,152.77,33.46,45.57,11.37,48.24,49.82,83.1,37.57,29.7,41.29,38.66,37.4,64.06,31.73,24.625,46.41,84.46,13.59
13.37,63.7228,79.06,38.78,46.48,34.26,73.85,38.34,45.12,32.11,60.27,37.97,152.05,33.18,45.36,11.06,47.76,49.58,83.75,37.28,29.58,41.01,38.45,37.07,64.13,31.41,24.82,46.47,87.28,13.25
13.57,64.4014,79.21,38.46,46.95,34.55,74.8,38.55,45.52,32.1,61.01,37.91,154.02,33.58,46.18,11.23,47.58,50.07,83.44,38.45,29.83,41.64,38.73,36.27,65,31.88,25.4,46.74,87.44,13.57
13.02,63.2571,78.36,37.37,46.18,34.27,73.91,38.11,44.77,31.7,60.77,36.62,155.43,33.12,45.68,10.9,46.7,48.88,83.14,37.06,29.45,40.47,38.01,36.31,63.4,31.2,24.775,45.36,86.29,13.23
13.26,64.1385,77.15,37.09,46.57,34.06,73.83,38.59,45,31.83,61.08,36.79,155.64,33.35,46.33,10.95,46.56,48.81,84.67,37.69,29.5,40.65,38.39,36.36,63.86,31.05,24.995,45.56,85.36,13.63
13.41,63.5099,77.3,36.73,47.03,34.26,74.41,39.6,45.38,32,61.59,36.2,157.75,33.47,46.66,11.64,47.53,49.93,85.88,37.77,29.52,41.04,38.67,36.58,65.22,31.47,25.72,46.05,86.54,13.74
13.43,63.0571,76.34,36.92,47.2,33.79,74.36,39.31,45.22,31.86,61.36,36.72,158.69,33.79,46.79,11.62,47.19,49.95,85.16,38.01,29.62,41.99,38.48,36.96,65.08,31.44,25.775,46.02,86.74,13.705
13.61,61.4957,76.37,37.81,47.98,33.6,74.82,39.83,45.23,31.97,61.65,37.36,158.58,33.89,46.71,11.93,47.5,50.19,85.54,37.85,29.76,41.82,38.26,36.65,64.29,31.13,26.2,46.35,86.77,13.59
13.9,60.0071,77.02,38.24,48.25,34.31,75.24,40.46,45.3,32.02,61.835,38.65,158.93,34.09,47.46,12.02,47.14,50.21,86.2,38.07,29.95,41.92,38.33,37.4,63.59,30.99,27.265,46.54,89.9,13.57
14.05,61.5919,76.95,37.51,48.27,34.67,76.92,41.46,45.77,32.21,62.66,39.34,158.96,34.29,47.66,12.18,47.85,51.01,86.46,38.25,30.36,42.6,38.79,37.49,63.56,31.8,27.925,47.21,91.01,13.74
14.57,60.8088,76.18,37.74,48.48,34.27,77.41,41.29,46.12,32.32,62.3,39.94,159.61,34.06,47.66,12.36,49.03,51.1,86.86,38.45,30.46,42.34,38.39,37.53,64.63,32.44,27.84,47.33,93.181,13.67
14.82,61.5117,76.22,37.49,48.08,34.43,77.57,41.5,45.71,32.57,63.34,40.01,158.48,34.05,47.39,12.32,49.59,51.57,86.64,39.01,30.22,42.58,38.42,37.28,64.21,32.72,28.015,47.29,92.24,13.545
14.92,61.6742,76.84,37.34,48.48,34.68,78.35,41.5,46.05,32.54,63.35,40.17,157.85,33.89,47.49,12.33,50.52,50.14,87.56,39.58,30.41,42.84,38.76,37.24,65.61,33.29,28.75,47.42,91.06,13.54
15.13,62.5528,77.53,37.67,48.55,34.93,78.3,41.48,46.44,32.46,63.87,40.36,157.82,33.93,47.38,12.51,49.9,51.05,88.37,39.47,30.22,43.57,38.88,35.6,65.42,33.53,28.555,47.75,91.67,13.52
15.5,61.2042,77.36,37.17,48.65,34.98,78.02,41.4,46.48,32.56,63.97,40.3,156.81,33.82,47.29,12.55,51.24,50.75,90.1,39.11,30.07,43.82,38.74,34.77,64.9,32.96,28.515,47.71,91.75,13.4
15.91,61.1928,78.77,37.17,48.86,35.01,77.93,41.59,46.48,32.93,64.18,40.46,156.89,34,47.44,12.64,51.46,50.64,91.58,38.89,30.07,43.72,39.17,34.66,64.98,32.88,29.73,47.93,91.51,13.63
16.25,61.7857,77.67,37.56,49.29,35.14,78.26,41.62,46.505,32.91,65.02,40.69,157.83,34.22,47.68,12.57,51.23,50.66,91.08,39.02,30.85,44.21,39.52,34.66,65.56,33.29,29.775,48.2,91.84,13.675
15.98,63.3799,79.57,38.5,48.89,34.14,76.6,41.38,45.53,33,64.48,40.14,157.84,34.39,47.9,12.5,50.87,51.08,91.59,38.97,30.74,44.04,39.64,34.69,63.21,33.04,29.62,47.98,93.66,13.305
16.29,65.1028,80.7,38.16,48.3,33.46,76.81,41.06,44.85,32.69,64.22,40.03,156.57,34.15,47.69,12.39,50.57,50.22,90.54,38.6,30.42,43.97,39.59,34.55,62.44,32.37,30.29,47.86,93.64,13.05
16.78,64.9271,80.07,38.36,50.06,33.54,76.18,40.75,44.91,32.7,64.31,39.67,156.74,34.3,47.7,12.45,50.52,49.81,89.8,38.38,30.28,44.38,39.9,34.67,62.61,32.29,30.46,47.64,92.74,12.96
