AAL-open,AAL-high,AAL-low,AAL-close,AAL-volume,AAPL-open,AAPL-high,AAPL-low,AAPL-close,AAPL-volume,AAP-open,AAP-high,AAP-low,AAP-close,AAP-volume,ABBV-open,ABBV-high,ABBV-low,ABBV-close,ABBV-volume,ABC-open,ABC-high,ABC-low,ABC-close,ABC-volume,ABT-open,ABT-high,ABT-low,ABT-close,ABT-volume,ACN-open,ACN-high,ACN-low,ACN-close,ACN-volume,ADBE-open,ADBE-high,ADBE-low,ADBE-close,ADBE-volume,ADI-open,ADI-high,ADI-low,ADI-close,ADI-volume,ADM-open,ADM-high,ADM-low,ADM-close,ADM-volume,ADP-open,ADP-high,ADP-low,ADP-close,ADP-volume,ADSK-open,ADSK-high,ADSK-low,ADSK-close,ADSK-volume,ADS-open,ADS-high,ADS-low,ADS-close,ADS-volume,AEE-open,AEE-high,AEE-low,AEE-close,AEE-volume,AEP-open,AEP-high,AEP-low,AEP-close,AEP-volume,AES-open,AES-high,AES-low,AES-close,AES-volume,AET-open,AET-high,AET-low,AET-close,AET-volume,AFL-open,AFL-high,AFL-low,AFL-close,AFL-volume,AGN-open,AGN-high,AGN-low,AGN-close,AGN-volume,AIG-open,AIG-high,AIG-low,AIG-close,AIG-volume,AIV-open,AIV-high,AIV-low,AIV-close,AIV-volume,AIZ-open,AIZ-high,AIZ-low,AIZ-close,AIZ-volume,AJG-open,AJG-high,AJG-low,AJG-close,AJG-volume,AKAM-open,AKAM-high,AKAM-low,AKAM-close,AKAM-volume,ALB-open,ALB-high,ALB-low,ALB-close,ALB-volume,ALGN-open,ALGN-high,ALGN-low,ALGN-close,ALGN-volume,ALK-open,ALK-high,ALK-low,ALK-close,ALK-volume,ALL-open,ALL-high,ALL-low,ALL-close,ALL-volume,ALXN-open,ALXN-high,ALXN-low,ALXN-close,ALXN-volume,AMAT-open,AMAT-high,AMAT-low,AMAT-close,AMAT-volume
15.07,15.12,14.63,14.75,8.4075,67.7142,68.4014,66.8928,67.8542,158.168416,78.34,79.72,78.01,78.9,1.298137,36.37,36.42,35.825,36.25,13.858795,46.52,46.895,46.46,46.89,1.232802,34.39,34.66,34.29,34.41,10.237828,73.01,73.71,72.82,73.31,2.000477,38.31,39.45,38.145,39.12,5.104545,44.72,45.9,44.45,45.7,2.962576,30.31,30.48,30.16,30.22,4.789484,60.71,61,60.51,60.925,1.813162,38.79,39,38.69,38.89,1.534449,153.88,154.77,153.31,154.08,0.217165,32.79,32.79,32.49,32.61,1.834481,44.55,44.63,44.25,44.57,2.312792,11.12,11.135,10.99,11.07,6.413866,49.83,50.95,49.495,50.6,3.844057,50.38,50.5,50.08,50.35,4.175138,87.26,87.82,86.79,87.45,0.62221,38.76,39.03,38.51,38.79,13.11232,27.4,28.665,27.2675,28.57,1.80189,38.55,38.74,38.09,38.56,0.651874,38,38.08,37.83,37.97,0.397389,35.5,35.58,34.78,35.42,7.049683,61.78,63.02,61.78,62.66,0.422698,32.4,33.04,32.19,32.73,0.872084,23.995,24.435,23.94,24.335,1.013314,45.05,45.29,44.89,45.14,3.510945,93.11,93.99,92.9,93.66,1.059844,13.41,13.68,13.36,13.61,16.950482
14.89,15.01,14.26,14.46,8.882,68.0714,69.2771,67.6071,68.5614,129.029425,78.65,78.91,77.23,78.39,0.758016,36.13,36.18,35.75,35.85,6.031957,46.85,47,46.5,46.76,1.115888,34.42,34.49,34.24,34.26,7.928236,73.09,73.27,72.1,73.07,1.880055,38.99,39.05,38.534,38.64,2.333712,45.99,46.14,45.77,46.08,2.382919,30.26,30.445,30.13,30.28,4.418487,60.79,60.98,60.28,60.34,1.366376,39.07,39.21,38.63,38.89,1.368345,154.06,154.35,153.21,153.42,0.358952,32.65,32.88,32.65,32.84,1.28761,44.57,44.74,44.48,44.73,1.372326,11.06,11.22,11.015,11.2,5.735378,50.52,50.65,49.93,50.38,4.020642,50.36,50.39,50.11,50.26,3.321756,87.13,87.54,86.35,86.66,0.843497,38.89,39.56,38.65,39.45,14.230893,28.57,29.01,28.57,28.92,2.555514,38.5,38.79,38.36,38.48,0.452892,37.88,38,37.69,37.88,0.500654,35.56,35.64,34.9,35.31,7.253,62.68,62.94,62.396,62.76,0.428135,32.56,33.07,32.5,33.03,0.999006,24.41,24.603,24.12,24.4,1.124948,45.03,45.45,44.91,45.25,2.357686,93.66,93.97,91.98,92.3,1.707183,13.56,13.75,13.48,13.66,13.240556
14.45,14.51,14.1,14.27,8.126,68.5014,68.9114,66.8205,66.8428,151.829363,78.39,78.63,77.5132,78.6,0.876859,35.77,35.9,35.2,35.42,7.473991,46.7,47.05,46.6,46.96,1.318773,34.27,34.5,34.21,34.3,7.070536,72.89,73.495,72.58,73.37,1.710274,38.55,39.13,38.12,38.89,3.279424,46.15,46.35,45.96,46.27,2.313512,30.22,30.83,30.08,30.81,5.535196,60.24,60.57,60,60.36,1.342315,38.91,39.24,38.8,38.91,1.907926,153.49,153.64,152,152.32,0.38937,32.83,33.16,32.7201,33.15,1.875404,44.73,44.94,44.6,44.9,1.69515,11.23,11.33,11.17,11.31,5.02022,50.96,51.1,49.99,50.15,3.122364,50.11,50.22,49.42,49.5,7.704847,86.73,86.73,85.65,85.78,0.790472,39.5,39.9,38.5,38.63,25.676629,28.87,29.16,28.78,29.16,1.558832,39.15,41.35,39.05,41.05,2.462236,37.9,38,37.77,37.82,0.754581,35.36,36.91,35.0836,36.74,9.682277,62.45,62.94,62.27,62.7,0.376294,33.07,33.16,32.77,33.02,0.741444,24.405,24.56,24.27,24.43,1.28016,45.19,45.67,45.15,45.61,2.702968,92.34,92.43,89.81,90.21,3.115852,13.67,13.69,13.47,13.66,11.712555
14.3,14.94,14.25,14.66,10.2595,66.7442,67.6628,66.1742,66.7156,118.721995,78.9,79.13,77.85,78.97,1.038574,35.42,35.57,35.15,35.27,4.860053,46.74,46.9,46.6,46.64,2.645247,34.29,34.58,34.25,34.46,6.6881,73.32,73.71,73.2,73.56,1.884631,38.9,39.15,38.67,38.81,2.490936,46.29,46.63,46.06,46.26,2.376089,30.91,31.16,30.66,31.16,6.749912,60.56,60.79,60.05,60.45,1.80608,38.91,39.17,38.53,38.66,1.708966,152.38,152.93,151.68,152.32,0.541101,33.2,33.39,33.12,33.28,1.67737,44.87,45.04,44.76,44.93,1.324472,11.31,11.43,11.31,11.34,4.476002,50.26,50.42,49.4,49.51,3.604101,49.43,49.54,48.49,48.65,6.063028,86.04,86.825,85.02,86.73,0.721733,38.93,39.18,38.56,38.87,16.533791,29.03,29.11,28.705,28.9,0.773318,41.06,41.39,40.83,41.39,1.10183,37.99,38.64,37.9,38.54,0.851917,36.82,37.44,36.0801,37.31,6.338839,64.05,66.83,64.05,66.15,1.949005,32.96,33.15,32.49,32.75,1.501927,24.44,24.76,24.385,24.76,1.146758,45.59,45.91,45.48,45.88,2.42464,90.12,92.21,89.85,92.01,2.496134,13.77,13.79,13.615,13.77,11.635605
14.94,14.96,13.16,13.99,31.8799,66.3599,67.3771,66.2885,66.6556,88.809154,78.66,79.72,78.585,78.84,1.005376,35.05,36.73,35.01,36.57,7.570052,46.67,46.99,46.6,46.77,1.941879,34.28,34.75,34.28,34.7,8.561425,73.21,73.5,72.66,73.13,2.096346,38.7,38.92,38.301,38.61,4.929645,46.02,46.7,45.98,46.54,1.991339,31.03,31.54,30.96,31.4,7.250119,60.25,60.78,60.03,60.74,1.704835,38.54,38.77,38.22,38.67,2.52554,152.27,152.618,151.68,152.37,0.410061,33.2,33.24,32.94,33.14,1.48904,44.76,44.81,44.41,44.77,3.665271,11.31,11.38,11.21,11.21,4.89231,49.33,49.98,48.99,49.56,2.194849,48.43,48.93,48.1724,48.83,4.984415,86.23,87.44,85,86.49,0.786394,38.64,39.26,38.5,39.21,18.321181,28.82,29.03,28.755,28.97,0.99047,41.15,42.18,41.06,42.01,1.435436,38.43,38.93,38.43,38.82,0.719755,37.26,37.93,36.63,37.87,5.145953,65.85,65.99,65.2803,65.41,0.585215,32.76,32.9067,32.5,32.56,0.644916,24.665,24.68,24.15,24.355,1.20595,45.68,46.08,45.46,45.88,3.968755,94.52,95.25,84.52,87.63,5.936469,13.86,13.99,13.65,13.89,20.124979
13.93,14.61,13.93,14.5,15.628,66.9785,67.1656,65.7028,65.7371,97.924631,78.83,79.18,77.93,79,1.247063,36.93,37.81,36.93,37.58,13.296586,46.77,47.09,46.51,46.6,2.962354,34.84,35.1,34.775,35.08,10.01682,73.08,74.16,73,74.16,3.221961,38.51,38.76,38.38,38.635,2.36788,46.39,46.625,45.86,46.175,3.187346,31.72,32.57,31.72,32.57,15.805985,61.26,61.26,60.75,61.22,2.192741,38.65,39.51,38.59,39,2.910931,152.75,157.33,152.75,155.41,0.680565,33.18,33.25,33.08,33.13,2.361329,44.84,45.1999,44.76,45.13,4.385262,11.22,11.24,11.11,11.17,4.121581,49.57,49.84,49.14,49.2,2.74756,48.94,49.41,48.75,49.34,5.319567,86.28,86.37,85.03,85.24,1.28103,39.31,39.31,38.32,38.35,20.559918,29.02,29.12,28.87,29.12,0.884656,41.92,42.13,41.57,41.84,1.198038,38.8,38.9,38.56,38.87,0.580468,37.83,39,37.83,38.49,6.736887,65.37,65.86,65.005,65.42,0.378709,32.84,32.84,32.45,32.73,0.728072,24.465,24.885,24.4425,24.49,1.269776,45.99,46.19,45.72,45.85,3.815132,87.93,88.47,85.53,86.01,3.690421,13.83,13.9,13.63,13.74,10.918134
14.33,14.56,14.08,14.26,11.3544,65.8714,66.1042,64.8356,65.7128,108.854046,79.12,81.44,78.57,80.72,1.73069,37.54,38.33,37.11,38.19,8.292612,46.67,47.24,46.62,47.22,1.831692,35.18,35.29,34.75,34.82,9.584941,74.28,75.46,73.83,75.4,2.787513,38.58,39,38.52,38.995,2.056485,46.4,47.04,46.2,47.01,2.734193,32.58,33.1,32.51,33.08,7.385582,61.22,61.49,61.09,61.46,1.66184,39.1,39.12,38.84,38.98,1.737923,155.64,156.63,154.77,154.94,0.382503,33.12,33.54,33.05,33.24,2.745027,45.2,45.68,45.14,45.56,3.398395,11.17,11.37,11.17,11.37,4.54795,47.57,48.86,46.9,48.71,6.720464,49.26,49.62,48.83,49.53,4.588503,87.4,87.7,84.39,84.81,2.055372,38.36,38.93,38.1,38.6,15.837728,29.21,29.62,29.13,29.58,1.445055,41.81,42.38,41.67,42.21,1.372301,38.82,38.93,38.58,38.85,1.105882,38.44,38.81,38.07,38.58,3.90576,65.65,66.81,65.65,65.84,0.731004,32.51,32.67,32.25,32.6,0.809676,24.46,25.16,24.32,25.15,1.416126,45.85,46.75,45.85,46.74,4.273843,82.77,85.47,81.82,83.39,3.996771,13.71,13.95,13.67,13.89,10.944009
14.17,14.26,13.15,13.33,14.7252,65.3842,65.3842,64.1142,64.1214,118.891367,80.42,80.94,79.39,79.5,0.648693,38.16,39.13,37.61,38.61,8.09633,47.22,47.39,46.59,46.61,1.970391,34.7,34.87,34.51,34.52,7.814093,75.4,75.97,75,75,2.641312,39.04,39.28,38.75,38.77,3.129578,46.9,47.27,45.76,45.79,3.472897,33.09,33.09,32.43,32.5,7.775251,61.43,61.76,61.13,61.21,2.00071,39.17,39.67,38.7,38.73,6.135854,154.94,155.95,152.69,152.77,0.36232,33.23,34.04,33.21,33.46,2.236183,45.63,45.89,45.505,45.57,3.319773,11.36,11.42,11.31,11.37,8.651025,48.75,48.82,48.045,48.24,3.18705,50.03,50.25,49.79,49.82,4.685629,84.52,85.01,82.93,83.1,1.285216,38.6,38.68,37.5,37.57,19.869238,29.52,30.06,29.52,29.7,1.708448,42.03,42.05,41.26,41.29,1.058179,38.85,39,38.645,38.66,0.488866,38.62,38.76,37.37,37.4,4.099689,65.7,65.93,64.05,64.06,0.462893,32.38,32.92,31.71,31.73,0.711842,25.105,25.335,24.58,24.625,1.035072,46.71,47.08,46.35,46.41,5.044762,84.44,85.28,83.3,84.46,4.062371,13.9,13.91,13.56,13.59,13.893321
13.62,13.95,12.9,13.37,11.9221,63.7142,64.1671,63.2599,63.7228,111.596821,79.26,80.05,78.56,79.06,0.91516,38.49,39.025,38.19,38.78,7.261136,46.48,46.62,46.1633,46.48,1.432331,34.47,34.49,34.135,34.26,6.572998,74.69,74.75,73.45,73.85,2.647515,38.82,38.82,38.3,38.34,2.872613,45.7,45.77,44.835,45.12,2.923019,32.32,32.43,31.975,32.11,6.469524,61.16,61.16,60.07,60.27,2.305166,38.58,38.62,37.91,37.97,2.851227,152.27,153.25,151.4,152.05,0.496263,33.38,33.46,33.155,33.18,1.52919,45.43,45.559,45.23,45.36,2.481173,11.35,11.36,11.04,11.06,4.101511,48.26,48.59,47.36,47.76,3.346636,49.83,49.83,49.1,49.58,4.031127,82.7,84.03,82.02,83.75,2.093454,37.36,37.61,36.82,37.28,24.51623,29.59,29.82,29.34,29.58,1.442766,41.19,41.19,40.72,41.01,1.011224,38.56,38.68,38.36,38.45,0.60089,37.3,37.53,36.47,37.07,2.987596,63.76,64.28,63.26,64.13,0.694751,31.06,31.425,30.9521,31.41,1.041999,24.805,24.975,24.569,24.82,1.193194,46.38,46.53,46.15,46.47,4.037755,84.38,87.9785,83.62,87.28,3.895591,13.51,13.52,13.09,13.25,17.873591
13.57,13.6,13.21,13.57,6.0714,64.1785,64.5142,63.7999,64.4014,82.583823,79.2,79.46,78.63,79.21,0.538188,38.79,38.85,38.14,38.46,4.490835,46.48,47.03,46.385,46.95,1.003693,34.18,34.55,34.01,34.55,7.902855,74.15,74.8,73.95,74.8,1.930654,38.54,38.87,38.37,38.55,2.835481,45.1905,45.89,45.19,45.52,2.32007,32.4,32.46,32.04,32.1,4.842672,60.71,61.02,60.34,61.01,1.570009,38.1,38.365,37.82,37.91,2.684958,152.27,154.52,151.62,154.02,0.337463,33.29,33.67,33.26,33.58,1.037085,45.56,46.18,45.5,46.18,2.171638,11.12,11.23,11.08,11.23,3.545679,47.87,48.11,47.37,47.58,2.698382,49.93,50.07,49.59,50.07,2.775428,83.72,83.95,82.44,83.44,1.292407,39.29,39.53,37.86,38.45,47.611675,29.63,29.84,29.6,29.83,0.995462,41.17,41.79,41.17,41.64,0.844821,38.6,38.82,38.55,38.73,0.6733,37.17,37.41,36,36.27,5.544645,64.48,65.25,64.39,65,0.551208,31.49,32.05,31.02,31.88,0.687837,24.965,25.405,24.9,25.4,1.26108,46.64,46.85,46.54,46.74,2.443775,87.28,87.8,86.93,87.44,2.005904,13.33,13.595,13.3,13.57,9.134246
