AAL.L,ABDN.L,ABF.L,ADM.L,AHT.L,ANTO.L,AV_.L,AVV.L,AZN.L,BA_.L,BARC.L,BATS.L,BDEV.L,BKG.L,BLND.L,BNZL.L,BP_.L,BRBY.L,BT_A.L,CNA.L,CPG.L,CRDA.L,CRH.L,DCC.L,DGE.L,DPH.L,ENT.L,EXPN.L,FLTR.L,FRES.L,GLEN.L,GSK.L,HIK.L,HL_.L,HLMA.L,HSBA.L,IAG.L,ICP.L,IHG.L,III.L,INF.L,ITRK.L,JD_.L,KGF.L,LAND.L,LGEN.L,LLOY.L,LSEG.L,MGGT.L,MNDI.L,MRO.L,NG_.L,NWG.L,NXT.L,PRU.L,PSN.L,PSON.L,REL.L,RIO.L,RKT.L,RMV.L,RR_.L,RS2.L,RTO.L,SBRY.L,SDR.L,SGE.L,SGRO.L,SHEL.L,SKG.L,SMDS.L,SMIN.L,SMT.L,SN_.L,SPX.L,SSE.L,STAN.L,STJ.L,SVT.L,TSCO.L,TW_.L,ULVR.L,UTG.L,UU_.L,VOD.L,WPP.L,WTB.L
31.86292834,5.317960448,22.84313776,24.18794952,4.833177034,21.70169703,7.022310043,28.26152457,64.06105129,6.466129958,3.402962426,69.92790251,3.602966675,25.60307036,13.39065322,21.34345074,9.096769933,23.21065442,4.62520089,7.459630424,13.72946016,37.35176453,19.91397748,26.86089891,33.47700166,7.797475728,2.26469646,17.42489056,64.6625884,25.37983439,5.137409942,31.25644046,11.65570797,10.83785295,6.36316797,13.4590232,2.547783517,4.134643745,35.7757437,6.971710732,5.848342702,50.47915046,10.56304755,5.176309473,18.71042813,2.748729879,1.172635062,18.67803005,8.918829513,10.53125477,0.64245035,16.63657074,1.421468655,64.68708675,16.01574626,11.42806865,24.11408574,12.49324426,63.24745745,63.83468801,24.40839518,14.15280724,3.45051669,1.342451391,6.472529596,24.75978409,5.782823654,4.27451508,45.66928028,0.093418729,2.41724893,29.57289652,10.45063054,11.41621058,31.07666809,29.0162591,33.99158346,6.218458696,39.07837514,6.138410797,0.713190971,44.7102781,3.310545867,14.00087885,5.155013301,12.97482347,44.88516811
31.53892677,5.288319594,22.78280551,23.66409064,4.679935952,21.37971605,6.841310899,28.03607922,63.82271261,6.378794168,3.348557088,69.90579582,3.47815233,25.53387827,13.28954747,21.13131438,8.690551083,22.43483688,4.586565087,7.363515575,13.41176385,36.91971731,18.74566897,27.27937514,32.95908776,7.695011718,2.309446147,17.13571512,64.37133384,25.40548793,5.160213428,31.29816242,11.64344922,10.65699682,6.216651974,13.21711459,2.513682881,4.083163629,35.29055134,6.908026852,5.820888315,48.50979838,10.80883639,5.151556668,18.48021556,2.709709476,1.143708599,18.43026479,8.740787372,10.46253384,0.645859395,16.46991196,1.365654219,64.35913713,15.69043977,11.25152659,24.21017979,12.31980971,63.38530232,63.24456333,23.95764446,13.7029092,3.397320966,1.338996915,6.522208999,24.04044897,5.556417601,4.195876727,45.65276181,0.095048634,2.378635268,29.05169931,10.46320499,11.22386616,30.85726407,29.05212116,33.03109781,6.149352421,38.63413611,6.127139378,0.699449964,44.99714876,3.314196615,13.80425275,5.152422554,12.69409855,44.23735982
31.79066277,5.34914557,23.16002719,24.55560036,4.766059032,21.84311294,7.004281112,28.05101493,64.69585826,6.434825127,3.346089747,70.60203269,3.621606604,26.20979154,13.46689136,21.47544766,8.729851198,22.44972701,4.606596739,7.405216528,13.55363333,37.21852539,18.90801813,26.91479513,33.46351202,7.625488192,2.350643709,17.30870006,64.10377775,25.16746665,5.185001913,31.61264987,11.86443491,10.84614578,6.338902535,13.34927929,2.544963589,4.065046521,35.31329747,6.96337386,5.80475793,48.86550705,10.73460627,5.163622849,18.65535222,2.743164585,1.153794776,18.35541307,8.873373909,10.48410499,0.647837406,16.50283276,1.373051956,68.34525751,15.86631017,11.38730308,24.83573344,12.60857034,64.45952376,64.12865087,25.77872601,13.88536333,3.394329516,1.335588203,6.497736495,24.14812832,5.609899253,4.009853662,46.08266665,0.09715994,2.388254008,29.46740573,10.44469355,11.2983944,30.99715504,29.17760357,34.14030332,6.151699027,38.24643058,6.122278152,0.732454626,45.25607963,3.357502764,13.64853102,5.311138428,12.82667917,43.44424632
30.41593377,5.308662255,22.78585409,23.62331323,4.581351686,20.51899055,6.613014012,27.8244523,63.97497536,6.306338436,3.197165072,70.5026879,3.486936476,25.87732082,13.29406698,20.99701011,8.673926031,22.31427848,4.447471248,7.321137796,13.35181284,36.44195845,18.36702889,26.47611783,32.77453372,7.631539232,2.352346274,16.85528489,63.38742512,24.62592129,5.042600825,31.32232359,12.01174619,10.46740544,6.187524688,13.18019465,2.473457171,3.923682531,35.03321881,6.817521196,5.743451398,47.97833436,10.60496703,5.072309522,18.4262253,2.659159363,1.094417048,17.70774399,8.654473695,10.20741035,0.626671258,16.44955261,1.291598866,67.99422422,15.16168677,11.23755661,24.46760193,12.33435207,61.86901815,63.07628849,25.54197769,13.42345005,3.316575341,1.31491715,6.382235056,24.1115437,5.56792918,4.169226611,45.66983157,0.098596692,2.311975975,28.65859157,10.27889923,11.45773503,30.47957581,28.69095934,33.41437783,5.985665684,37.58529007,5.980386726,0.722596351,44.37457911,3.342194954,13.4532717,5.241433257,12.41386697,42.30839418
31.15567074,5.468811276,22.84066934,24.74007076,4.841328262,21.44919261,7.094681695,28.25376784,65.34157723,6.417905895,3.37293876,70.87712889,3.650643205,26.22491217,13.46836994,21.46850782,8.843165411,23.05747853,4.508792777,7.421234489,13.57377635,37.37689551,18.91198986,27.35195345,32.55954264,7.526580328,2.443694912,17.26184847,64.63968688,25.22801983,5.109696586,31.53062825,12.30022449,10.96170566,6.296199335,13.70339805,2.342844011,4.044896911,35.93546037,7.057989056,5.942445405,48.380827,10.74449985,5.263051989,18.66668608,2.728549389,1.139001774,18.0700944,8.792114759,10.50346369,0.633498814,16.6337671,1.36321985,68.97055861,16.07449801,11.54515755,24.74932743,12.78881354,64.37254371,63.72410681,25.55406679,13.63625788,3.397899592,1.393713782,6.441257082,24.98190819,5.626786415,4.222149966,46.62150871,0.099764814,2.408319519,29.41713441,10.39540058,11.44923796,31.00001545,29.01931237,34.90426925,6.210730686,38.44216159,6.068211305,0.747093989,45.27272959,3.337482144,13.70277927,5.298853368,12.87012654,43.64739088
31.83308319,5.528975343,23.10060969,25.00804426,4.903228317,21.98284411,7.234726609,29.23761413,65.74005313,6.398665098,3.516748045,71.2237874,3.706830219,27.35631603,13.55425707,21.6637607,8.977904827,23.69224048,4.619390046,7.415126718,13.71450729,37.38673307,19.75924894,27.47584472,32.66360779,7.571204521,2.401198128,17.46658241,64.91338011,25.90436318,5.277656447,31.93820474,12.36795748,11.13612153,6.362846536,13.81104272,2.37929795,4.219538652,36.14154478,7.195184051,6.027069873,48.79594635,10.84058829,5.369733146,18.84332656,2.782706546,1.17649562,18.84317742,8.986891221,10.58018433,0.657005351,16.80754493,1.455865854,69.87558618,16.1451241,11.74011145,24.9728008,12.76847007,66.57209777,64.53489856,25.75046437,13.73223852,3.463356779,1.457708965,6.508233537,25.44833655,5.680708364,4.3503727,47.0358864,0.102696194,2.468462962,30.14678613,10.70762292,11.60314851,31.31725506,28.97130011,33.01262649,6.514500738,38.31196058,6.181352458,0.760960922,45.27307709,3.393542139,13.69460278,5.347998948,13.23396493,44.19154991
33.07175603,5.511714675,22.83930939,24.96316451,4.920910628,22.16283982,7.309399392,28.64950412,65.37120668,6.431499396,3.556797213,70.73871966,3.657257304,26.33901586,13.49429024,21.38060002,9.206022352,23.76874185,4.699492106,7.53196395,13.61778119,37.23976157,19.93032223,27.36846235,32.88408081,7.541480389,2.394318701,17.48582292,64.12580945,26.48852853,5.383051159,31.85768857,12.29959635,11.18105534,6.304961307,13.77233341,2.441082739,4.248793358,38.30152683,7.127142645,6.01139227,48.64207372,10.45955631,5.433242887,18.7655027,2.775036322,1.18413716,18.72037371,9.161100931,10.80991521,0.661711125,16.89647865,1.442506793,70.22515969,16.17000248,11.61723474,24.86495725,12.93944622,66.81839908,63.96815247,25.38794635,13.58806529,3.457093797,1.460453378,6.517388954,25.71214657,5.672250947,4.358492433,47.66271446,0.102101481,2.482905376,30.06786023,10.69337649,11.50272925,31.17150423,29.06707579,27.49217059,6.465002701,38.39954528,6.223653569,0.762373725,44.88012746,3.476126761,13.72669198,5.326418719,13.25760453,44.20064417
33.45487596,5.521940737,23.0982298,25.16026875,4.926358669,22.32290903,7.420911187,28.87043119,65.45679535,6.433168453,3.567605835,70.50180783,3.679734564,26.48861405,13.58111514,21.62768271,9.27916792,24.0084653,4.786656472,7.603664211,13.70139187,38.27710357,19.91910821,27.67102664,32.8587224,7.530485247,2.451077685,17.54518849,63.87122708,27.14474451,5.413867236,32.34352434,11.82353295,11.19244169,6.24258799,13.8618673,2.394075878,4.364932863,37.43829976,7.156841095,6.021811404,48.97924546,10.68028015,5.464436388,18.8817056,2.780184936,1.182026995,18.77400305,9.175832179,10.89682287,0.678243414,17.06374409,1.454076556,70.05733438,16.44530294,11.70238851,25.11231044,12.95577761,68.85623047,65.27670451,25.3599476,13.6453069,3.420108397,1.44332044,6.5214594,25.98336395,5.696222938,4.413604474,47.76086022,0.099870289,2.512764571,29.09516582,10.73664166,11.45577984,31.23386664,29.23097845,29.96493105,6.468112658,38.24815731,6.262006228,0.773237108,44.88502239,3.505033281,13.76220496,5.364352073,13.27439332,44.38558609
33.53055276,5.584077181,23.45648146,25.36266094,5.009493382,22.46625643,7.413605852,28.82549823,65.34251506,6.45315439,3.580974565,71.13553133,3.753900896,26.58778101,13.47075492,22.08725771,9.271598549,24.43759425,4.687566666,7.509319449,13.73321321,38.65566946,20.21948608,27.78795807,33.03964772,7.508542446,2.459478726,17.62895109,63.36034165,27.52502089,5.54512113,32.19553039,11.65084591,11.33770889,6.299964945,13.9805027,2.373263729,4.402905832,37.26599392,7.117511728,6.072858969,49.18048676,10.61228233,5.484913027,18.75406619,2.775759366,1.187960099,19.08144958,9.246602405,10.98558618,0.696460419,17.07807678,1.441034206,70.87842618,16.49666856,12.00159339,24.94384589,13.14303903,69.07132424,65.90586281,24.7515418,13.64821245,3.448599871,1.4786321,6.535832556,26.04333852,5.765776977,4.405667056,48.21565348,0.101420187,2.524171324,28.71519239,10.83173868,11.43872922,31.43792236,29.18597444,31.16324377,6.510186455,38.32444308,6.314299595,0.786883536,45.38943607,3.550490321,13.75327717,5.34644507,13.4495395,44.67589512
33.69586701,5.601601588,23.17625665,25.3371759,4.990412966,22.48486144,7.554634864,28.78044147,65.13314855,6.460354886,3.660095364,71.10688606,3.694003608,26.47899099,13.33534963,21.00823868,9.240337179,24.28247264,4.72891809,7.431219389,13.73499846,38.48856431,20.08438561,27.67573839,32.78695711,7.503863067,2.407489401,17.58126051,64.96563248,27.45055904,5.525308644,31.96883179,11.66926735,11.28830186,6.337637682,13.96238902,2.340267294,4.464798525,37.23198417,7.11145092,6.106268571,49.15337562,10.62265615,5.53347946,18.5753066,2.776709394,1.176310685,18.99199697,9.27375154,11.00366798,0.694888986,17.01950761,1.416787033,70.82594736,16.5748175,11.98731634,24.95693797,13.00373076,68.71322167,65.47190469,25.63819881,13.65137109,3.429890743,1.461550152,6.490047412,26.233919,5.736717195,4.345845588,47.82072331,0.101614812,2.521610651,28.50204485,10.73208749,11.38214921,31.62565622,29.06298448,30.24667164,6.435653619,38.02019072,6.27421785,0.788223007,45.01023427,3.439270572,13.8266847,5.347418892,13.499137,44.307737
33.42986508,5.596353639,23.13618707,25.43554813,4.936635738,22.21558619,7.554701495,28.90865437,65.1986931,6.509425075,3.661062148,70.68713854,3.696796914,26.39783347,13.38917135,20.99721792,9.224325302,24.03202858,4.730547486,7.396432915,13.71611824,37.83799489,19.6446419,27.67751714,32.6946584,7.495129349,2.389229151,17.70055954,64.6033462,27.21450068,5.54697967,31.89851236,11.87817895,11.30348475,6.334653333,13.96562479,2.321860722,4.458818609,37.08986273,7.070734717,6.125576199,48.87109728,10.74761441,5.562853908,18.67405932,2.789111595,1.188640283,19.09020924,9.200748251,10.80725881,0.69107474,17.16811562,1.417321803,71.00005193,16.5083594,11.95871978,24.86995499,13.02048266,68.72334746,65.61441692,25.97032552,13.65698537,3.436729879,1.452306278,6.552457636,26.51525265,5.768477496,4.327536554,47.71275763,0.101052643,2.527616437,28.18395463,10.79461564,11.41548841,31.86778909,29.19244168,30.47246982,6.41579153,38.14761834,6.321489622,0.788200861,45.20704254,3.446756808,13.88701412,5.352012002,13.36401617,43.57805703
33.44123271,6.055690999,23.29389049,25.7074528,4.946908514,22.16551043,7.578818686,29.14819318,65.69989142,6.571706641,3.720010441,70.79154615,3.749009503,26.86865293,13.45665737,21.08200488,9.320324894,24.33200584,4.730340531,7.489786142,13.8418366,38.35701417,18.7187295,27.85868189,32.97920369,7.514774438,2.431630755,17.88640737,63.3521389,26.9196912,5.599432477,31.9948734,12.02763763,11.41254547,6.397542077,14.0657996,2.337503113,4.455029926,37.29567842,7.073530807,6.136008423,49.14879119,10.85605473,5.512419196,18.82740253,2.807681331,1.199252873,19.34342483,9.32907384,10.8504319,0.696230793,17.36475014,1.426228731,71.75344114,16.92050088,12.19369368,24.76157975,13.22291987,68.52487129,65.9766987,25.75959806,13.84410108,3.482722759,1.461137996,6.63773409,26.60669547,5.814757209,4.366414937,47.97801919,0.102756009,2.566547042,28.24867574,10.84821076,11.45641599,31.84651892,29.43016996,31.34824058,6.515372192,39.49555583,6.443388569,0.792572674,45.12869207,3.415374431,14.58160988,5.370424332,13.40534503,44.04970246
32.47832607,6.003741663,23.43320616,25.55163049,4.984402623,21.72519815,7.56877828,28.69543477,65.77475584,6.567089771,3.663213374,70.33236206,3.847557101,27.11921537,13.49259061,21.00381862,9.292270964,24.52144578,4.716867806,7.547057629,13.8863243,38.3180437,18.00653244,28.10384514,32.89754489,7.491216723,2.413488233,18.04835824,63.22931698,26.10190643,5.588919912,31.95160146,12.09885803,11.466689,6.42395342,14.03317112,2.313187423,4.485326833,37.21313942,7.092797471,6.362832614,49.22275396,10.61778102,5.493335673,18.80827402,2.794228486,1.201041271,19.13413738,9.332533265,10.81065619,0.695836867,17.27270978,1.412667471,71.89992964,16.88279603,12.44571952,24.75006749,13.23259918,66.26507465,65.68996443,25.9214905,13.83003556,3.512095539,1.463339623,6.633002636,26.56916274,5.824272885,4.328384203,48.00351702,0.10108441,2.581178649,28.35577881,10.79800904,11.47904214,32.03357109,29.40026911,32.60790636,6.410675523,39.54479538,6.390727439,0.800459483,44.96420257,3.392988327,14.67768416,5.312892792,13.41523329,44.21154426
