1332.T,1605.T,1721.T,1801.T,1802.T,1803.T,1808.T,1812.T,1925.T,1928.T,1963.T,2002.T,2269.T,2282.T,2413.T,2432.T,2501.T,2502.T,2503.T,2531.T,2768.T,2801.T,2802.T,2871.T,2914.T,3086.T,3099.T,3101.T,3103.T,3382.T,3401.T,3402.T,3405.T,3407.T,3436.T,3659.T,3861.T,4004.T,4005.T,4021.T,4042.T,4043.T,4061.T,4063.T,4151.T,4183.T,4188.T,4208.T,4324.T,4452.T,4502.T,4503.T,4506.T,4507.T,4519.T,4523.T,4543.T,4568.T,4578.T,4631.T,4689.T,4704.T,4751.T,4755.T,4901.T,4902.T,4911.T,5019.T,5020.T,5101.T,5108.T,5201.T,5202.T,5214.T,5232.T,5233.T,5301.T,5332.T,5333.T,5401.T,5406.T,5411.T,5541.T,5631.T,5706.T,5707.T,5711.T,5713.T,5714.T,5801.T,5802.T,5803.T,6103.T,6113.T,6301.T,6302.T,6305.T,6326.T,6361.T,6367.T,6471.T,6472.T,6473.T,6479.T,6501.T,6503.T,6504.T,6506.T,6645.T,6674.T,6701.T,6702.T,6703.T,6724.T,6752.T,6753.T,6758.T,6762.T,6770.T,6841.T,6857.T,6861.T,6902.T,6952.T,6954.T,6971.T,6976.T,6981.T,6988.T,7003.T,7004.T,7011.T,7012.T,7013.T,7201.T,7202.T,7203.T,7205.T,7211.T,7261.T,7267.T,7269.T,7270.T,7272.T,7731.T,7733.T,7735.T,7751.T,7752.T,7762.T,7832.T,7911.T,7912.T,7951.T,7974.T,8001.T,8002.T,8015.T,8031.T,8035.T,8053.T,8058.T,8233.T,8252.T,8253.T,8267.T,8304.T,8306.T,8308.T,8309.T,8316.T,8331.T,8354.T,8355.T,8411.T,8591.T,8601.T,8604.T,8628.T,8630.T,8725.T,8750.T,8766.T,8795.T,8801.T,8802.T,8804.T,8830.T,9001.T,9005.T,9007.T,9008.T,9009.T,9020.T,9021.T,9022.T,9064.T,9101.T,9104.T,9107.T,9202.T,9301.T,9432.T,9433.T,9501.T,9502.T,9503.T,9531.T,9532.T,9602.T,9613.T,9735.T,9766.T,9983.T,9984.T
2.3459,5501.3984,12.3670,2.7284,4.4878,3.0981,0.6757,2.8176,14.1009,9.6259,30.5477,11.9845,45.7069,13.1957,5176.2357,20.8836,3.0981,22.4391,11.2578,6.7827,1.5172,12.6730,14.2029,5.0743,31.1725,4.9723,10.5438,1.2749,0.4972,31.9119,2.9069,6.2472,12.0228,5.3293,7.2545,20.2334,3.3149,1.7722,2.7666,10.2506,2.4989,2.2439,3.2129,50.1692,11.1558,2.2567,4.2456,2.1674,26.6337,27.0799,46.4081,47.5555,11.1303,14.2029,19.3792,44.1769,40.1608,16.8293,30.5987,1.6702,366.8024,29.5915,1949.3947,9.8426,17.6963,7.0122,14.4962,83.1266,4.7301,6.9995,22.6813,5.7118,0.9180,5.1253,3.3149,2.2057,4.1053,7.3182,10.8243,1.9507,0.9307,13.1192,3.4296,5.4695,2.0272,3.2639,2.7029,10.6203,6.1452,1.9889,11.8698,2.7666,5.9413,5.3293,22.0693,4.0033,17.8748,9.4856,3.7101,27.1309,6.1452,2.5626,8.6569,3.5061,5.8138,7.7134,2.1802,7.1015,19.6342,3.9268,1.2622,3.7611,1.5172,7.4329,6.6552,3.2511,11.9973,37.4325,5.9923,10.1231,11.9718,246.1924,31.5550,6.5532,162.3008,78.4093,7.9684,49.5955,42.8382,1.2239,1.1985,3.8758,2.4861,2.0909,9.3836,5.0615,37.7002,6.8720,0.9562,1.1985,31.8609,17.9513,7.4967,8.5676,27.3731,18.6780,6.5277,31.9247,6.7190,5.4950,13.9479,6.2345,7.5477,9.4219,112.1954,10.4418,6.7190,18.9457,14.7256,45.3244,14.0372,19.7617,7.3054,7.3692,22.7578,12.0865,2.3969,4.9085,4.0926,2.9706,31.8992,5.9030,3.7356,10.2123,1.6574,95.6211,3.6209,3.4934,5.7628,19.0732,16.1918,1051.8317,22.8343,10.2633,19.3665,18.2317,3.6591,24.9252,5.4695,4.7811,10.2506,7.3309,8.9374,64.8948,42.9020,8350.9060,16.4468,2.2057,2.9834,1.4279,2.2949,10.6203,46.4718,6871.9414,1.5682,11.3343,7.0760,5.0105,4.0798,17.9003,3101.9472,46.5356,20.6924,203.7366,38.1337
2.3162,5617.7025,12.5407,2.7641,4.5684,3.1352,0.6910,2.8792,14.3066,9.6230,30.8910,11.9776,45.8118,13.1677,5221.0082,21.7798,3.1608,22.5476,11.4146,6.8718,1.5612,12.6302,14.2042,5.0930,31.5308,4.9907,10.6084,1.2669,0.4991,31.7995,2.9560,6.3087,11.7985,5.3490,7.6907,20.7433,3.3527,1.8171,2.8025,10.5956,2.4825,2.2522,3.3271,50.9304,11.1714,2.2650,4.2613,2.2010,26.7321,27.1416,46.0677,47.7313,11.0946,14.3066,19.3356,44.4042,41.2050,16.5332,30.5199,1.7403,365.7265,29.8928,1979.6323,9.9685,18.0432,7.1405,14.3834,84.4575,4.8627,6.9869,22.7907,5.9248,0.9342,5.3234,3.3271,2.2138,4.1589,7.4604,11.6065,2.0219,0.9469,13.2957,3.5958,5.5025,2.0858,3.3143,2.7897,10.8003,6.2063,2.0986,11.9008,3.0328,6.0528,5.3234,22.4964,4.0565,18.1456,9.5591,3.8006,27.4359,6.1168,2.7129,8.8808,3.5319,5.9504,7.9979,2.2266,7.2557,19.9243,4.0053,1.3436,3.9669,1.5868,8.0491,6.9869,3.4551,12.3231,38.3898,6.0400,10.3524,12.8990,250.9411,32.2346,6.6414,156.2463,79.9787,8.3050,50.6745,43.4444,1.2669,1.2285,4.0693,2.4058,2.1498,9.5207,5.1570,38.6457,6.9869,0.9597,1.2157,32.6441,18.4399,7.5116,8.5353,27.9477,18.9390,6.7822,33.9110,6.9230,5.5793,14.4218,6.2447,7.6652,9.7126,111.7142,10.4548,6.7566,18.6702,14.9336,47.0275,14.1530,20.0395,7.3324,7.3708,22.9059,12.0800,2.3162,4.8755,4.1077,2.8920,31.8379,5.8608,3.6726,10.1093,1.6508,95.5905,3.7750,3.5575,5.9376,19.2845,16.3412,1064.6762,23.1874,10.2885,19.5276,18.1200,3.7366,25.2349,5.4258,4.8115,10.2885,7.3708,9.0600,64.2389,43.2525,8292.1895,16.4692,2.2394,3.0584,1.5356,2.3162,10.6596,46.5156,6922.9801,1.6764,10.7107,7.5244,5.1698,4.1077,17.9920,3045.5881,46.5796,21.5239,206.6649,38.4537
2.2537,5551.1009,12.4980,2.7659,4.4947,3.0861,0.6659,2.8300,14.0602,9.3479,30.2846,11.9986,45.3948,13.5096,5365.4751,21.6922,3.0605,22.6654,11.4608,6.9021,1.5366,12.7669,14.2651,5.0837,31.7187,4.9172,10.4235,1.2933,0.5122,32.0645,2.9196,6.1850,11.5888,5.2502,7.4783,20.6806,3.2654,1.7415,2.6891,10.7180,2.4074,2.2025,3.2782,50.1328,11.1662,2.1769,4.0593,2.1385,26.4302,27.3649,46.7394,48.2760,10.9998,14.4188,19.7842,44.8826,40.9770,16.6341,30.7327,1.7031,369.9453,29.9900,2071.8988,9.9753,17.6329,7.2094,14.0346,80.1612,4.6739,6.9021,22.6142,5.9032,0.9092,5.2630,3.3550,2.1641,4.0849,7.4527,11.6144,1.9464,0.9220,12.9206,3.5215,5.3910,2.0104,3.2269,2.6635,10.4619,6.0953,2.0104,11.3199,3.0477,6.0825,5.2246,20.9111,3.4574,17.4792,9.4759,3.6751,26.2637,5.8648,2.4458,8.5027,3.7007,5.8648,8.0545,2.2025,7.0173,19.4897,3.8672,1.4470,3.8928,1.5366,6.7740,7.4783,3.3934,12.0498,39.8885,5.7880,10.1802,12.7157,249.7035,31.9364,6.7100,152.5112,78.2404,7.8240,47.2516,44.6265,1.2037,1.2165,4.1105,2.3562,2.0617,9.3863,5.0837,38.4799,6.8508,0.9476,1.1781,30.7968,18.1195,7.4783,8.3491,27.6979,17.6713,6.5819,34.1774,7.3246,5.4679,14.1499,6.1594,7.5551,9.5143,108.0768,10.2827,6.6588,18.5677,14.7517,47.3796,13.6633,19.6818,7.2350,7.2990,22.6654,12.0882,2.2793,4.7636,4.0721,2.7659,31.8724,5.8648,3.6623,10.3851,1.6647,95.9118,3.6751,3.4830,5.9032,19.0927,16.0066,1024.4246,22.9727,10.0394,19.4513,17.7994,3.6623,25.2265,5.3014,4.8148,10.2955,7.3759,9.0918,65.1790,43.3460,8361.8659,16.1731,2.1641,2.9324,1.4726,2.3050,10.7693,46.3552,6966.1130,1.6391,10.7308,7.0813,5.1861,4.1745,18.1963,3091.2013,46.9955,21.4617,208.3424,40.7209
2.2934,5446.9294,12.3209,2.7394,4.4595,3.0452,0.6880,2.7776,14.1174,9.3649,30.2098,11.8367,44.7859,13.4549,5306.7235,22.1317,3.0707,22.4503,11.4035,6.8803,1.5162,11.7985,14.0665,5.0074,30.9997,4.9436,10.3842,1.2869,0.4969,32.2229,2.6375,6.1031,11.3398,5.0965,7.5174,20.3225,3.2236,1.7328,2.6375,10.7282,2.2552,2.1533,3.2363,49.9461,10.9576,2.1278,3.9880,2.2043,25.9924,27.4958,46.1237,48.7994,10.9193,14.0665,19.5707,44.0851,40.7086,16.4618,30.4264,1.6691,363.5109,29.9932,2046.2617,9.8236,17.5831,7.1861,14.3085,80.0157,4.7143,6.9313,23.1638,5.8610,0.8919,5.2749,3.4402,2.2425,4.0390,7.3263,11.7985,1.9877,0.9174,13.0854,3.5039,5.2749,2.0259,3.2236,2.6757,10.5753,6.0904,2.0259,11.3908,3.1089,5.8355,5.0583,20.9723,3.5166,17.8379,9.4668,3.6695,26.4256,5.8483,2.3826,8.3966,3.8097,5.8738,7.9633,2.2170,6.9568,19.6727,3.7969,1.4398,3.9498,1.5672,6.8166,7.4664,3.4019,12.2827,41.7916,5.7464,10.1421,12.9452,248.5838,32.1082,6.6765,149.3287,81.7995,7.7977,47.9712,44.6585,1.2104,1.2104,4.1409,2.2807,2.0641,9.5560,5.0711,38.7974,6.9186,0.9429,1.1977,30.5028,18.0035,7.4792,8.2946,27.4704,18.0035,6.7020,34.3125,7.5556,5.4278,14.3085,6.0649,7.4537,9.3267,109.1934,10.3842,6.6892,18.4113,14.7290,48.0349,13.6715,19.9530,7.1734,7.3772,22.8962,12.0406,2.4718,4.7780,4.0645,2.7776,32.2866,5.8483,3.7587,10.3078,1.6946,96.3246,3.6440,3.5039,5.8992,18.8827,16.0159,1010.3895,22.9727,10.0529,19.6089,17.8506,3.6568,25.3043,5.3386,4.7780,10.2058,7.2753,9.0464,65.7454,43.1932,8358.3291,16.0796,2.1660,2.8541,1.4270,2.2934,10.7664,46.6334,6956.7800,1.7965,10.6390,7.3135,5.2622,4.1792,18.0290,3037.5391,46.7608,21.6221,201.8231,40.1990
2.2155,5481.1750,12.3070,2.7022,4.4182,2.9839,0.6659,2.7534,14.0999,9.3231,29.8263,11.7435,44.5025,13.4084,5404.3873,22.2705,2.9839,22.5138,11.3594,6.7746,1.4215,12.1918,14.2024,4.9945,30.8252,4.8921,10.2452,1.2678,0.4866,31.9010,2.4845,5.9934,11.2825,5.0329,7.1076,20.3879,3.1248,1.6520,2.5997,10.8343,2.1899,2.1003,3.2144,50.8417,10.8599,2.0875,3.9700,2.2027,25.2416,27.6876,46.3595,47.9603,10.8215,13.8182,19.1841,43.7341,39.8922,16.1490,30.6459,1.6520,364.9848,30.1080,2090.0181,9.8610,17.1479,6.9923,13.9591,80.4247,4.8537,6.8643,23.0901,5.6349,0.7684,4.9945,3.4962,2.2796,3.9316,7.1972,11.6027,1.9338,0.8965,12.6528,3.3425,5.0586,1.9466,3.0223,2.6637,10.4245,6.0447,1.9082,11.1544,3.0607,5.5836,4.8793,20.7593,3.4321,17.3528,9.4768,3.6242,26.3173,5.7885,2.2667,8.1065,3.7651,5.7629,7.8120,2.1387,6.6850,19.4659,3.6883,1.4087,3.8676,1.4984,6.4417,7.2229,2.4588,11.4874,41.5570,5.4556,9.9891,12.6144,244.6038,32.4132,6.4673,148.2991,80.6808,7.4918,48.2804,44.6946,1.1654,1.1654,4.0981,2.2027,2.0106,9.4512,4.9817,39.2519,6.7490,0.9477,1.1398,30.7740,18.7231,7.3253,8.0425,27.0857,18.1084,6.3904,34.5007,7.2869,5.3147,14.7275,5.7629,7.1588,9.3359,106.8061,10.3733,6.5569,18.1852,14.5738,47.2559,13.5493,19.6195,7.0692,7.1716,22.7955,12.0125,2.5997,4.7384,4.0468,2.7534,31.8881,5.8141,3.7651,10.2196,1.6776,95.5364,3.5730,3.4321,5.7757,18.6975,15.6111,998.9057,22.6291,9.9763,19.4274,17.6089,3.5730,25.1647,5.3659,4.7512,10.2196,7.2997,9.0030,65.4411,43.3499,8413.8598,16.0977,2.1131,2.7278,1.3575,2.2667,10.4501,46.6796,6992.3401,1.9722,10.7574,7.4021,5.2250,4.1877,17.9675,3028.7334,46.1674,22.6803,208.7457,39.7641
2.2141,5668.7982,12.8391,2.7231,4.4918,3.0157,0.6744,2.7740,14.3533,9.3144,30.5772,11.8593,44.5996,13.4244,5401.5821,22.4589,2.9521,22.6752,11.6939,6.9222,1.4506,12.1520,14.2261,5.0517,31.2261,4.9626,10.3960,1.1834,0.4963,32.0787,2.4049,6.2096,11.3630,5.0517,7.1639,20.2066,3.1557,1.6924,2.6213,11.0958,2.1759,2.0741,3.2829,51.9163,10.9304,2.0232,3.9319,2.2268,24.9020,27.9304,46.4447,48.6079,10.9559,13.8062,19.3923,44.2815,40.9731,16.3765,30.9462,1.6542,367.1040,30.4881,2056.2913,9.9888,17.4708,7.0876,14.0098,81.1828,4.8608,7.1003,23.5659,6.0060,0.7126,5.0644,3.3720,2.2650,4.0719,7.2530,11.7702,1.9469,0.8653,12.6610,2.9267,5.2044,1.9214,3.0793,2.7103,10.4596,6.1587,1.9087,11.5539,3.0412,5.6115,4.8608,20.9574,3.4738,17.7508,9.5562,3.6647,26.8234,6.0187,2.2777,8.3728,3.8428,5.8533,8.0928,2.1759,6.8458,19.7994,3.7919,1.4379,3.8683,1.5015,6.4386,7.2657,2.3031,11.4139,42.1183,5.4843,10.1797,12.7755,252.5828,32.9058,6.6422,154.6036,81.6918,7.6475,48.7987,45.0450,1.1452,1.1579,4.1355,2.2141,2.0359,9.5943,5.2680,39.9552,6.8840,0.9416,1.1961,31.4297,18.6542,7.6602,8.0801,27.9813,18.2598,6.5277,35.4761,7.6093,5.4079,14.7096,5.7770,7.2912,9.5689,105.9957,10.4978,6.6550,18.5906,14.6205,48.1625,13.6026,19.6595,7.1512,7.2785,23.1460,11.9484,2.5958,4.7717,4.0464,2.7867,32.0532,5.6752,3.7283,10.2815,1.6796,95.1798,3.6265,3.5502,5.9169,19.1250,15.7657,1019.2385,22.9806,10.1033,19.6722,17.7126,3.5883,25.3855,5.2934,4.7335,10.1669,7.3166,9.0853,65.1498,42.8818,8321.8721,16.2238,2.1632,2.7740,1.3870,2.2395,10.5614,47.1446,7023.9654,1.9723,11.1213,7.4439,5.2425,4.1991,17.9925,3060.2603,46.6992,21.9499,211.8642,39.8915
2.2515,5826.9506,12.8052,2.7376,4.5797,3.0702,0.6780,2.8655,14.3531,9.4536,30.9961,11.9481,44.7095,13.3297,5443.1266,23.2950,2.9678,22.8729,12.1272,7.0358,1.4200,12.2424,14.3915,5.0786,31.6740,5.0530,10.6433,1.1257,0.4861,32.6335,2.3794,6.3195,11.5516,5.2065,7.4836,20.1481,3.2365,1.7270,2.7504,11.2573,2.2898,2.1235,3.4667,53.2165,11.0654,2.2387,4.1064,2.3410,25.1755,28.1945,46.9482,49.1869,11.0399,13.9821,19.7643,44.5816,41.8952,16.6685,31.1751,1.8165,371.7479,30.7786,2045.5091,10.1060,17.4233,7.2405,14.3147,82.6391,4.9763,7.2917,23.8067,6.2939,0.7164,5.1681,3.5051,2.2771,3.3516,7.3812,11.9609,2.0596,0.8827,13.3553,2.9295,5.4368,1.9700,3.0318,2.7760,10.5793,6.2555,1.9444,11.9225,3.0958,5.7310,5.0146,21.4913,3.5691,18.1908,9.6327,3.7610,26.7362,6.2555,2.3410,8.5965,3.9401,5.8845,8.2127,2.2259,7.0358,20.1737,3.9145,1.4455,3.8761,1.5223,6.6521,7.2661,2.3410,11.5644,42.2150,5.6159,10.3491,12.9843,256.2323,33.8488,6.9463,155.9397,82.3832,7.9441,49.6346,46.2446,1.1641,1.1513,4.2087,2.2131,2.0852,9.8246,5.3600,40.7439,7.1766,0.9466,1.2153,31.9683,18.9200,7.9569,8.8012,28.2968,18.7921,6.6265,35.9595,7.7778,5.4496,14.8520,5.9357,7.5219,9.6583,106.5609,10.5921,6.7672,18.7025,14.9032,48.5473,13.8414,20.0329,7.2277,7.4708,23.3334,12.0505,2.6480,4.8355,4.0680,2.8911,32.4672,5.7950,3.7994,10.3875,1.7014,95.9432,3.6714,3.5947,5.9869,19.4317,16.1696,1027.2319,23.6404,10.3491,19.7131,17.9862,3.7098,25.2650,5.3856,4.8100,10.3235,7.4196,9.2361,66.3927,43.4943,8430.2095,16.1824,2.2259,2.9039,1.4328,2.2515,10.7712,48.0356,7010.2245,2.0340,12.2040,8.2639,5.3216,4.2983,18.2676,3090.6504,47.6518,21.9390,215.4245,40.2961
2.3145,5868.9099,12.9459,2.8232,4.6290,3.1920,0.6486,2.9631,14.3067,9.4233,31.4365,12.1829,44.5732,13.4546,5315.6682,22.9797,2.8995,23.0433,12.2083,7.1088,1.4625,12.4500,14.5356,5.2013,31.5001,4.9724,10.6442,1.1572,0.5087,32.0724,2.3654,6.2313,11.6742,5.1758,7.5539,20.2837,3.2810,1.7550,2.7977,11.2419,2.2891,2.1365,3.4845,53.2844,11.3182,2.3018,4.1458,2.3399,24.9127,27.8503,46.7351,49.0877,11.2164,14.0142,19.9022,45.0183,42.6656,16.5576,30.9533,1.8185,362.0539,30.9914,2000.3890,10.0465,17.3206,7.2487,14.3575,79.9901,4.9215,7.4395,23.7554,6.3967,0.7122,5.2013,3.4209,2.2509,3.3319,7.4903,12.3101,2.0729,0.9156,13.5564,3.1030,5.6464,2.1110,3.1920,2.8232,10.7459,6.3585,1.9711,12.0176,3.1284,5.8753,5.0995,21.4282,3.6371,18.4015,9.7158,3.8024,25.8792,6.3967,2.3654,8.7112,3.8914,5.8244,8.3169,2.2128,7.1215,20.1819,3.9931,1.4243,3.9296,1.5515,6.6764,7.1851,2.3908,11.5979,42.2841,5.7481,10.4788,13.3147,254.2135,33.5602,6.9944,157.0553,83.5509,7.9736,48.5155,45.7177,1.1827,1.1318,4.2221,2.2509,2.1237,9.8939,5.2776,40.1858,7.2233,0.9538,1.2081,32.2377,19.0247,8.0244,9.0545,28.8677,18.6432,6.0024,34.7684,7.6684,5.4810,14.7009,5.8880,7.2233,9.8430,106.4416,10.5933,6.6764,19.3045,14.9552,48.2611,13.7980,20.0293,7.3250,7.5158,23.4375,12.0049,2.7214,4.7689,3.9804,2.8105,32.0342,5.7862,3.8787,10.4407,1.6786,93.5973,3.6625,3.5353,6.0024,19.2790,16.0743,1007.1889,23.1196,10.0846,19.4062,17.8038,3.7007,25.1289,5.3666,4.8070,10.2881,7.5030,9.3216,65.7471,43.3015,8431.3917,16.3668,2.2636,2.9885,1.4752,2.2382,11.0257,47.1166,6918.0904,1.9966,12.1702,8.3678,5.2521,4.3111,18.0836,3115.6726,48.1975,22.2167,218.9873,39.6771
2.3459,5966.8210,13.1704,2.8559,4.6664,3.2767,0.6630,2.9834,14.5346,9.4475,31.7720,12.2779,44.6237,13.5783,5291.0402,23.0768,2.9324,23.3191,12.2396,7.1908,1.4662,12.5966,14.4708,5.2528,32.2310,4.9851,10.7862,1.1475,0.4972,32.4733,2.4224,6.2346,11.8571,5.3293,7.8538,20.8456,3.3277,1.7977,2.8177,11.3854,2.3204,2.1547,3.5699,54.3134,11.3854,2.3204,4.2711,2.3969,25.3590,28.3296,46.9823,49.2773,11.3089,14.0246,20.0296,45.8349,43.2850,16.7147,31.0963,1.7977,370.1214,30.8541,1972.3658,9.9320,17.5690,7.3948,14.5091,79.9401,5.2146,7.5223,24.0840,6.4386,0.7012,5.2401,3.4424,2.2694,3.3277,7.5478,12.6094,2.1164,0.9307,14.1393,3.2384,5.7118,2.1037,3.4679,2.8942,10.7862,7.0250,1.9889,12.0994,3.1364,5.9668,5.1253,21.6616,3.6464,18.5124,9.7407,3.8376,26.3790,6.5661,2.3714,8.8482,3.9779,5.8266,8.3510,2.2312,7.1653,20.3866,4.0671,1.4407,4.0034,1.0327,6.6935,7.3565,2.4352,11.7551,43.0937,5.8521,10.4802,13.7823,260.4747,33.9650,7.1270,160.2627,84.2750,7.8920,48.8310,46.2174,1.1730,1.1092,4.2839,2.2949,2.1292,9.9192,5.3421,40.8625,7.2545,0.9817,1.1985,32.6263,19.2774,8.1088,8.8992,26.5957,18.2830,5.8393,34.7045,8.0323,5.5333,14.9936,5.9668,7.2928,9.9575,109.6467,10.6969,6.8083,19.8384,15.2358,49.9785,14.0118,20.2974,7.3693,7.5350,23.6123,12.1886,2.6774,4.7684,4.0289,2.9069,32.3458,5.8521,3.9014,10.5567,1.6702,93.8372,3.7229,3.5954,6.0816,19.4432,16.4725,1019.9694,23.2936,10.2507,19.5452,17.9642,3.7611,25.2060,5.3803,4.8449,10.3527,7.6115,9.3327,66.4255,43.6674,8567.7429,16.5363,2.2439,2.9834,1.4917,2.2694,11.3472,47.8748,7050.5639,2.0399,12.4054,8.6442,5.3166,4.3094,18.1555,3122.3813,48.8310,22.7198,224.5208,40.6713
2.2773,5960.3845,13.2566,2.7607,4.5800,3.2442,0.6361,2.9134,14.5416,9.3509,31.4495,12.1243,44.1463,13.5492,5623.1934,28.1162,2.9134,23.0909,12.1625,7.1245,1.4885,12.4678,14.3380,5.1907,31.5385,4.9871,10.8139,1.1450,0.4962,32.8107,2.3791,6.2466,11.6790,5.2925,7.7860,15.7120,3.3332,1.7302,2.7353,11.1956,2.3155,2.1119,3.5368,53.1791,11.2719,2.3027,4.2874,2.3409,25.1138,28.0272,46.4999,48.6627,11.1702,13.8800,19.6559,45.1005,43.2557,16.6026,30.6225,1.7557,363.3481,27.9890,2083.9082,9.7961,17.4422,7.3535,14.3380,80.6592,5.3179,7.5316,23.4599,6.4884,0.7124,5.2161,3.3841,2.2773,3.3205,7.4425,12.7604,2.1119,0.9160,14.0327,3.3968,5.6741,2.0992,3.4096,2.9516,10.5977,6.9591,1.9592,11.9208,3.1170,5.9413,5.1271,21.3353,3.5877,18.1292,9.6180,3.8421,26.1061,6.4247,2.4045,8.6511,3.9185,5.7377,8.2695,2.2264,7.1245,20.2920,3.9821,1.4249,3.9439,1.1577,6.6537,7.3916,2.6590,12.0480,42.8104,5.8522,10.4832,13.5874,257.6260,33.2179,7.1245,161.1912,83.3309,8.6893,49.6805,45.7366,1.1704,1.0941,4.2238,2.2518,2.1501,9.8343,5.2289,40.3296,7.1372,0.9669,1.1959,31.7802,19.0580,7.9514,8.6003,26.4623,17.9638,5.9922,33.8158,8.0150,5.4960,14.9868,5.9286,7.3153,9.7580,109.1571,10.5722,6.7174,19.6305,15.0759,49.4896,13.8164,19.9231,7.3789,7.5316,23.3708,12.0862,2.6208,4.6691,4.0075,2.8625,32.2255,5.8268,3.8803,10.4832,1.6666,94.5265,3.7276,3.5495,6.0304,19.6050,16.6153,1029.2318,23.3326,10.2033,19.2742,17.9130,3.6895,24.4395,5.3052,4.8090,10.2669,7.5189,9.2236,65.9014,43.0649,8498.4778,16.3481,2.2137,2.9388,1.4758,2.2518,11.2083,47.6449,6920.9415,2.0228,12.0480,8.4349,5.2161,4.2492,18.0402,3087.6954,47.9630,22.7856,219.0775,39.9479
