AAPL.O,ABT.N,ACN.N,ADBE.O,AIG.N,AMGN.O,AMT.N,AMZN.O,AVGO.O,AXP.N,BA.N,BAC.N,BK.N,BKNG.O,BLK.N,BMY.N,BRK_B.N,C.N,CAT.N,CHTR.O,CL.N,CMCSA.O,COF.N,COP.N,COST.O,CRM.N,CSCO.O,CVS.N,CVX.N,DHR.N,DIS.N,DUK.N,EMR.N,EXC.O,F.N,FDX.N,GD.N,GE.N,GILD.O,GM.N,GOOGL.O,GS.N,HD.N,HON.O,IBM.N,INTC.O,JNJ.N,JPM.N,KO.N,LLY.N,LMT.N,LOW.N,MA.N,MCD.N,MDLZ.O,MDT.N,MET.N,META.O,MMM.N,MO.N,MRK.N,MS.N,MSFT.O,NEE.N,NFLX.O,NKE.N,NVDA.O,ORCL.N,PEP.O,PFE.N,PG.N,PM.N,QCOM.O,RTX.N,SBUX.O,SCHW.N,SO.N,SPG.N,T.N,TGT.N,TMO.N,TMUS.O,TSLA.O,TXN.O,UNH.N,UNP.N,UPS.N,USB.N,V.N,VZ.N,WBA.O,WFC.N,WMT.N,XOM.N
5214.4820,4514.9736,67.9373,10274.9110,54.3403,4090.2586,73.0098,2833.0800,36.8067,1420.2222,1075.3338,181.9354,1705.6409,113.7569,204.7725,1844.5894,4261.5000,51.3573,1440.5231,77.4600,2161.3446,1314.8836,193.7656,446.8902,634.2760,125.8700,4677.0011,1400.2662,58094.8135,1750.0126,3297.3431,577.3009,1469.9882,708.1052,241.0816,763.7456,1522.4829,2623.7918,889.7600,19.3600,632.3000,113.0617,3188.8508,485.5507,1746.5959,3111.0968,6871.8770,1017.3727,4561.2098,1957.3458,255.6676,3159.2479,449.3460,5812.8523,54.7373,7152.8862,35.8498,23.1500,1977.4479,7190.1365,4125.9306,72.5781,11088.6462,1724.4030,115.5000,2369.9215,159.9600,10198.0371,2694.9098,2840.7788,5014.4547,110.0050,2129.2247,2832.5513,1553.9267,736.2387,936.6646,415.4258,1604.8678,5182.4567,641.7188,8.9000,27.3500,1974.0173,1782.1265,1103.0419,99.7880,3034.2268,134.6119,1433.6592,7447.8023,2553.3307,26029.0182,5361.5416
5352.3302,4495.3138,67.8472,10231.8366,53.5694,4048.1112,73.2123,2799.6000,37.7583,1406.0906,1061.6875,183.4349,1692.1230,110.2902,202.6657,1843.0363,4242.0000,51.3384,1415.6430,76.9200,2159.1323,1328.7631,192.3694,443.4689,632.4348,124.3600,4700.5776,1397.7950,57967.8534,1750.0126,3253.6433,574.8414,1465.0811,701.4706,244.7906,757.9539,1521.7633,2617.4846,869.2800,19.7100,632.9700,113.0841,3124.7743,482.7234,1740.3796,3103.8505,6849.1192,1013.4316,4543.2169,1956.4572,256.2129,2983.9955,444.6809,5814.8045,55.0283,7265.3124,35.9902,21.7100,1976.3647,7152.3564,4097.1753,73.3839,11025.0473,1711.8478,113.7000,2308.1082,162.4800,10071.3120,2694.1690,2880.3173,4971.3197,110.3187,2148.3031,2812.5266,1500.8916,727.5974,933.1761,413.8785,1625.8773,5066.3443,637.2545,8.7600,27.4200,1976.1937,1709.5164,1098.2943,98.9764,3011.7510,132.7909,1439.7191,7466.2832,2542.0527,25838.0878,5318.0663
5317.7148,4481.0774,67.7347,10168.8816,52.8327,4009.8845,72.4530,2785.0800,37.5434,1383.9187,1045.3118,180.4360,1681.7858,107.1635,201.9038,1843.0363,4231.0000,50.6761,1389.4180,78.3400,2143.8479,1369.5853,189.4749,449.8227,630.8567,124.5700,4709.4188,1385.1299,58454.5337,1759.6226,3232.4556,572.6363,1456.8004,685.8704,240.7951,745.7830,1512.4082,2614.9617,858.0640,19.6600,632.6800,112.1763,3094.8321,482.3076,1733.2753,3131.6281,6864.9507,1013.4316,4555.0248,1948.9033,255.3232,2956.9431,435.1368,5819.3595,54.5849,7237.6666,35.5925,20.8800,1975.7148,7164.2870,4107.3788,72.5781,11002.6007,1704.1216,109.0000,2299.4543,160.6800,10111.3305,2681.9446,2894.8277,4930.4954,109.3535,2142.5436,2825.7504,1451.1713,717.2278,928.1371,415.6579,1613.8719,5063.8383,637.1400,8.8100,26.2500,2004.4872,1713.5317,1089.1576,98.3742,2995.5685,131.1345,1441.9518,7447.8023,2548.8195,25556.8995,5321.7403
5326.3029,4497.3476,66.4183,10132.4340,52.8327,3971.6577,73.0908,2769.7200,37.3900,1376.3656,1034.1074,179.4363,1643.6176,108.1685,200.5826,1685.1357,4204.0000,49.5592,1397.3191,78.3000,2119.1111,1392.8540,187.8744,445.1795,629.2786,121.3700,4638.6892,1387.2922,57793.2833,1750.6753,3243.0495,572.1275,1454.0401,680.6704,237.5987,737.9768,1486.9815,2588.4715,916.6400,19.1400,628.7500,109.6209,3077.4656,476.6529,1726.7926,3129.2127,6772.9299,990.0663,4484.1776,1924.9086,253.8594,2922.8336,431.2968,5829.7710,53.9613,7169.4737,37.0780,20.0400,1951.4517,7070.8311,4073.0579,69.9994,10920.2963,1694.9466,107.7400,2288.0807,161.2800,9977.9356,2659.7186,2892.4093,4891.9819,108.6658,2119.5055,2812.5266,1430.6202,703.9778,922.0670,416.2510,1609.5842,5176.6093,622.6024,8.6200,26.1000,1976.9192,1709.8510,1091.0387,98.1779,2957.8092,132.9966,1423.1340,7341.0238,2506.7151,25706.1723,5258.6705
5395.6213,4514.2957,67.9035,10609.5663,53.6893,4028.9978,73.9818,2819.6400,37.9732,1403.6541,1045.8864,185.6841,1729.4960,110.6652,206.1533,1689.7951,4279.0000,51.8687,1429.2598,79.9300,2141.0323,1412.8569,196.0813,453.8143,639.2076,128.2700,4818.4605,1382.3498,58782.5139,1768.2384,3295.3567,581.7958,1487.4698,689.8153,242.1269,753.9249,1513.6076,2643.9748,909.9200,20.0400,641.3300,113.1737,3131.3616,489.8748,1762.9358,3195.6104,6839.2245,1015.9652,4544.9037,1961.7893,256.5573,2998.1098,432.0098,5829.7710,56.1369,7337.1915,38.8207,21.0900,1986.5466,7142.4143,4095.3201,74.0286,11129.7984,1711.1235,107.8200,2338.2730,164.6400,10244.7253,2699.3550,2935.9405,5045.2655,110.9098,2168.4614,2902.0710,1455.4804,737.3909,927.1581,420.4287,1611.2993,5209.1876,647.9002,8.6600,27.2700,2050.9176,1726.9160,1115.5825,99.1727,3010.8520,134.7559,1418.0309,7351.2910,2581.9015,25879.7454,5360.9293
5455.6506,4499.3814,68.2186,10649.3273,54.9741,4039.7797,73.4047,2807.8800,37.9323,1391.2281,1047.0356,190.9322,1727.1105,110.8536,205.8200,1687.2066,4257.5000,54.0646,1451.6182,77.5900,2138.8201,1426.3282,193.0505,455.2806,634.5390,132.7200,4918.6609,1386.9833,58883.0240,1754.9833,3287.4113,578.4882,1500.9644,682.4635,243.7251,756.4430,1510.7291,2645.2363,922.2400,19.8500,642.8200,114.3393,3113.9951,487.6296,1765.0671,3205.3568,6811.5193,1021.8768,4534.2204,1942.2381,255.4093,2988.7002,427.6502,5836.2781,56.2616,7324.2901,39.1248,21.9200,1980.2642,7116.5648,4126.8582,75.9626,11204.6206,1699.5341,113.5800,2361.7621,168.1200,10338.1017,2684.9081,2933.5221,5069.1439,111.2718,2164.5018,2896.0258,1446.8286,741.9996,927.9413,417.2052,1612.5856,5211.6937,647.6713,8.7900,28.2700,2048.7412,1706.5049,1105.2813,98.9895,2967.6985,134.8074,1425.3666,7349.2375,2556.3382,25786.0159,5354.8060
5441.3137,4476.3319,68.5786,10725.5359,55.4196,3997.6323,71.4000,2838.7200,38.2700,1404.3851,1069.5880,191.6820,1773.2304,113.3002,207.1294,1684.6180,4233.5000,54.6893,1466.2437,76.6800,2109.2567,1410.4076,192.6759,459.8423,629.9361,136.6800,5051.2790,1362.8887,59221.5842,1766.9129,3298.0052,577.1313,1527.0335,681.5669,247.9870,753.9249,1532.7975,2664.1578,920.8000,20.4200,640.5400,115.7066,3137.9489,487.0475,1775.4572,3228.5046,6757.0983,1041.8640,4485.3021,1899.5808,259.2265,3054.5669,424.1361,5792.0294,56.6358,7416.4427,40.1307,20.7200,1986.5466,6949.5373,4081.4062,77.8965,11320.5949,1686.4960,115.8000,2377.8336,169.8000,10504.8453,2677.8699,2870.6437,5100.7249,110.1739,2208.0582,2951.5660,1507.7232,760.4343,923.0461,411.0417,1605.2966,5232.5772,654.1961,8.6700,30.2500,2120.5632,1758.0346,1104.0272,99.6047,2974.8908,134.1592,1418.3498,7398.5199,2553.3307,25685.3435,5383.5854
5432.0770,4467.5189,69.5350,10771.9238,55.4709,3987.8306,70.9140,2812.5600,38.3518,1410.9636,1071.5990,191.6820,1794.7000,93.7202,206.7247,1661.8389,4232.5000,54.6325,1466.2437,76.0100,2117.1000,1408.7747,192.7782,465.7075,630.6286,135.5500,5057.1732,1407.3711,59322.0942,1765.5874,3343.0291,577.0465,1532.8607,684.9739,249.0525,749.6441,1533.5172,2650.2820,909.1200,20.3800,642.2300,114.8773,3161.3039,490.0411,1775.0113,3240.6876,6763.0352,1046.0866,4473.4943,1904.0243,260.8624,3107.4955,432.3357,5695.7233,56.9545,7445.9316,40.2360,20.7200,1985.0302,6961.4679,4086.9717,78.2726,11346.7827,1685.2888,115.6000,2371.1577,170.7600,10391.4597,2688.2420,2881.5265,5139.2384,110.7168,2212.0179,2927.3852,1507.0576,753.4897,918.9341,408.6950,1604.8678,5257.6374,655.9131,8.7300,29.0900,2129.9944,1764.3922,1092.8302,99.1989,2968.5976,134.9308,1409.1004,7441.6420,2559.3849,25935.7661,5405.6292
5463.0563,4455.3163,69.2537,10818.3117,55.6937,4017.2357,71.1570,2808.7200,38.1881,1375.8783,1067.0024,192.9315,1772.4353,93.7102,208.0578,1644.7546,4227.0000,54.6325,1486.0805,75.5100,2110.6645,1410.4076,192.7441,465.0558,628.9140,137.7600,5216.3150,1390.6902,59581.3044,1755.6460,3307.9369,577.4705,1542.6749,691.7878,248.7861,744.1882,1521.5234,2656.5892,910.4000,20.6500,642.3500,116.1101,3182.8623,490.3738,1769.5711,3252.8706,6760.0668,1039.3304,4455.5013,1898.2478,259.8579,3165.1288,433.8534,5670.9961,56.9129,7372.2095,40.5284,21.0100,1984.1636,6903.8036,4107.3788,79.0247,11410.3815,1672.0093,115.8200,2350.3885,176.5200,10461.4920,2672.3133,2886.3633,5140.0087,110.2463,2231.8162,2910.3831,1501.0680,752.9110,916.5843,405.0072,1596.2925,5236.7539,651.9067,8.7800,29.4100,2143.0529,1740.6350,1086.4703,99.5262,2969.4966,132.2147,1414.2035,7410.8405,2559.3849,25775.2163,5435.8283
5471.5933,4481.7553,69.3437,10814.9982,55.8478,4054.4823,71.3899,2793.0000,38.0141,1360.7721,1065.9968,193.4313,1769.2546,93.8605,207.6055,1642.6838,4238.5000,54.7082,1495.1584,77.9300,2119.1111,1417.7556,191.2103,466.6035,628.4524,139.8400,5169.1619,1388.5278,60067.9847,1772.2150,3287.4113,575.4351,1571.8109,697.8844,249.0525,736.9696,1525.1216,2661.6350,908.3200,20.5400,642.0000,115.4601,3177.4727,490.7064,1777.3300,3274.8001,6791.7298,1040.7379,4430.1988,1937.3503,261.2643,3148.6621,433.9451,5739.3213,56.7051,7420.1288,40.9027,21.8070,1999.3281,6951.5258,4134.2790,78.4875,11380.4527,1685.2888,119.8000,2336.5423,175.4520,10541.5289,2671.9429,2894.8277,5143.0898,111.2476,2231.1683,2942.8760,1516.3748,745.3877,918.7383,406.6835,1607.4404,5249.2840,653.2803,9.0300,29.9400,2158.2879,1736.6197,1092.9198,99.8796,2981.1840,132.8115,1422.4961,7427.2680,2560.1416,25715.8827,5450.6197
