ADS.DF,AIR.DF,ALV.DF,BAS.DF,BAYN.DF,BEI.DF,BEI.DY,BMW.DF,BNR.DF,CON.DF,DB1.DF,DBK.DF,DPW.DF,DTE.DF,EOAN.DF,FME.DF,FRE.DF,HEI.DF,HEN3.DF,HNR1.DF,IFX.DF,MBG.DF,MRK.DF,MTX.DF,MUV2.DF,PAH3.DF,QIA.DF,RWE.DF,SAP.DF,SIE.DF,SRT3.DF,SY1.DF,VOW3.DF
75.66139083,36.35769837,99.39656193,73.71132964,73.57325153,67.01029967,67.26850449,74.09248914,37.52453827,91.23237129,50.41018855,25.80585083,18.07433771,11.28846901,21.41624587,73.22197002,35.4859497,47.5834605,71.57068869,60.12237859,6.805541444,49.21629863,50.27555318,76.43477576,142.4061084,50.96471415,18.39918397,39.36025162,64.38767638,82.09228937,17.44112112,31.42106804,168.6950482
74.68717773,35.69346344,99.03081859,72.75998816,74.31816751,66.05405496,66.10309286,74.47631475,36.34603533,90.29226432,49.44123947,25.86589995,17.9969103,11.18922345,21.19663345,72.37871846,35.49853778,46.37391865,71.87730591,59.73429525,7.199990066,49.56506017,50.16577448,75.67529147,140.7902706,51.36352525,18.20532138,39.01210351,63.13629975,81.8519831,17.61723434,31.2800522,169.9690487
74.97705431,37.97112762,100.0366214,72.60401253,75.25087628,65.17012102,65.32627454,72.37039701,36.81202581,90.52969964,49.7490381,25.71922356,18.07446331,11.34879567,21.26147072,72.29170547,35.19970991,47.44731053,73.14624643,60.47199011,7.021990475,49.29164352,50.1867598,75.22911315,142.9358068,51.22573405,18.25631455,39.31011337,63.26062159,82.68857941,17.38775666,31.56883303,169.9233167
71.88477253,36.74830775,95.60992712,70.13595958,72.39119451,69.36550353,69.91582928,68.98639024,35.79159701,91.61089333,48.93007398,24.1358199,18.30383447,10.9955085,20.61397968,71.02259552,34.68678749,45.71372571,71.29775839,58.54243043,6.66383337,47.51267944,48.82612356,72.89859485,138.596483,50.69111639,17.71620887,37.92111307,62.41916961,80.99987909,17.33526115,31.03348057,166.2044915
74.49016584,37.83907621,100.8449662,72.54508128,75.41219435,69.5093861,69.34384699,70.95055013,36.8028744,97.07164819,49.32091768,26.10381383,18.77164838,11.29560997,21.3679346,70.95176733,35.01395651,48.3325518,72.72766118,59.83752006,6.87717633,49.00444585,50.06584368,74.0142409,142.2662601,51.67011242,17.84791579,39.47742653,63.81532754,85.51409692,17.46108984,31.18464736,171.8685483
76.57391846,38.15535479,105.2376135,75.10143861,76.0704694,71.83367556,71.66234148,73.78415267,37.7720879,101.4347418,51.08362856,26.70738265,19.22666355,11.50297287,21.69735065,72.73255871,35.92465956,50.23813212,75.22559374,61.59460193,7.189823623,50.81545347,50.68509059,76.90789576,145.3980737,53.65984752,18.05674975,40.94512058,65.4148553,87.58598194,17.52387593,31.86068966,178.6964797
76.1277029,38.07748108,106.1128984,75.83032906,76.83099203,70.3239568,70.26696015,75.21575646,38.47236876,103.0350791,50.86579524,27.0332645,19.04307724,11.63475147,22.30303796,72.22095408,35.5873469,50.10377477,74.24929148,61.17599406,7.170426704,51.91527708,50.08394985,77.73599975,146.2088044,55.19877989,18.0860291,41.63233752,64.96007617,88.69472135,17.31273322,31.69509505,182.4970862
76.49128537,37.54918584,106.6372093,75.24708132,76.67320684,69.81298298,69.9926738,74.40935031,37.16997624,102.7831509,50.98262394,26.92660791,18.96915471,11.63529062,22.23333146,71.8441089,35.75017088,50.09036606,74.0772321,60.51986929,7.15913025,51.25649754,50.04699241,76.54705148,145.8593786,55.45630582,18.00774684,41.31897539,64.67878242,88.8043202,17.09231504,31.40995592,180.3724092
75.43719305,37.72973354,106.8497639,75.1142196,76.33050544,69.98995504,70.34881443,74.32101661,37.14479274,100.5400259,51.04712916,26.98226612,19.05914582,11.39069194,22.08841403,71.92655828,35.65367011,50.06088457,74.95953883,61.25358512,7.331868522,50.8714118,50.11285731,76.28608112,146.5754981,52.90082351,17.95460137,41.00649098,64.78154413,88.61537598,16.32723592,32.2280479,182.7831729
75.33709056,37.76259831,106.347542,74.8735874,75.71637631,69.77136429,69.74677526,73.67979014,36.658551,101.9215172,50.88330315,26.50463522,18.93355084,11.30111684,21.88423409,71.36965105,35.35496373,49.71901272,74.99653254,59.40094212,7.300482135,50.81199497,49.47496663,76.44236733,146.1448823,52.68199048,17.96621851,40.72065827,63.79623071,88.04285557,15.98200697,32.21162545,181.7252045
75.24974261,37.20709665,106.3147543,74.20929354,74.89061591,69.15673545,69.32237298,72.49279797,37.1682025,100.0327977,50.8642176,26.14054664,18.79188433,11.28789082,21.71323955,71.80080119,35.57072056,49.14894897,74.42155497,59.45037629,7.219342347,50.12068914,50.72802674,75.02275785,146.1634628,51.91202833,17.74493246,40.33948635,63.70542035,87.80384031,16.74350023,31.94841186,178.9498779
76.00900266,37.23753763,107.3008748,75.33520994,76.75264277,69.94733622,69.99546428,72.98804186,37.3963602,101.1923144,51.77344337,26.34764034,19.20556083,11.49026389,22.01426458,72.6745925,36.1931589,49.04125089,74.86873805,60.12057526,7.280910424,50.58751881,52.9655382,75.89423577,148.5799347,52.1140419,17.99767014,40.75088542,64.55329225,88.49193848,16.85407358,32.28281639,180.9121132
76.50897023,37.45073659,106.385733,75.43155272,76.35574026,70.16280854,69.99515548,72.87114522,37.51890728,100.2429739,51.53482696,26.27456401,19.33311066,11.41150325,22.2633411,72.11177545,36.20406345,48.69335402,74.23579188,60.60411824,7.28304647,50.0986812,53.49303944,75.27252886,146.9799646,51.55208536,18.07965744,40.53629267,64.13346185,88.51749098,16.75051378,32.09939862,178.6232482
76.60502962,37.06016471,107.0143161,75.58654855,76.30994072,69.86681786,69.86681786,73.95550276,37.22007116,100.864068,51.53907867,27.17671609,19.53933806,11.56369639,22.42872459,71.18297094,35.94414069,49.48366577,73.92598157,60.78044139,7.343396173,50.06301914,55.3011854,75.33930858,147.5444507,51.62764224,18.1768121,41.07996683,64.00071127,88.22875243,16.79017718,32.20515889,178.4814285
77.56148466,37.32414802,107.8546927,76.74238201,76.09908374,69.97582815,69.82757427,75.71325304,37.8607035,103.3823676,52.32126275,27.94251938,19.62140012,11.62557456,22.53953052,71.13344381,35.81727095,50.1592271,75.06587779,61.28568028,7.439873536,51.53181087,55.51675144,76.13083478,147.4990139,53.22314048,18.2206481,41.17998418,64.1815726,89.07092701,16.82990323,32.65785737,180.4126092
77.61400406,37.39404494,108.0184733,76.87423596,76.00439195,70.10535776,70.33961766,75.45511413,37.72324175,102.5935072,52.09200432,27.59741918,19.37699266,11.66737602,22.41127485,71.43570741,36.02017227,49.75680299,74.30107588,60.56851389,7.163421185,51.56800191,55.63302766,76.99753064,145.9809068,52.57285359,18.00201033,41.16193051,64.61504545,89.48789868,16.75574766,31.78536973,180.1335345
77.47109068,37.77637475,108.5783579,77.57361632,75.73297228,70.58581461,70.76739617,76.02708499,38.44254436,102.5318157,51.97802868,28.77338836,19.29087844,11.6805114,22.40246984,71.52089785,36.16276942,50.7600735,74.21991619,61.01140219,7.273144155,51.8693268,55.40275561,76.94487475,146.9600045,53.85560666,17.85218432,41.06831245,64.98025616,90.19365786,16.56468463,32.50433344,181.252978
76.88945015,38.01335022,109.8385095,77.85069295,75.44421973,71.17186326,71.00230552,76.42067285,38.47053276,102.6572403,51.99937065,29.15794767,19.42433573,11.81293845,22.62972515,70.75295589,35.58381216,51.17901039,73.93839734,60.88245102,7.231139105,51.94077349,55.71468005,76.36332244,146.6175791,54.1924006,17.72439467,41.30351852,64.58155269,90.00636246,16.76626874,32.40921742,183.330571
77.42584844,37.42980286,109.2658033,76.68655,74.61701559,70.83982709,70.79722345,76.14648623,39.35160289,103.0506842,52.00150041,29.05267441,19.32325633,11.68968668,22.38570614,70.70951008,35.08534967,50.70459552,74.3884596,60.48964894,7.139868659,51.49902808,55.95737359,75.4021756,145.1029819,53.61918564,17.99615298,40.63510016,64.05582412,89.61124099,16.74009746,33.0428811,182.4438183
77.79176548,37.13308151,109.7356323,77.9700545,75.85368857,71.91450582,71.74249459,75.20280812,38.76944821,101.3999931,52.19975871,29.24642933,19.23512456,11.84617495,22.64144916,71.00799408,35.33261359,50.89272446,74.87510789,60.56804233,7.077571614,51.35225812,56.52201173,75.3848638,147.0896917,52.91919254,18.34380504,41.11696207,64.81182308,90.58149109,17.12767308,33.20946766,179.5420588
77.93824549,37.13400823,109.8691128,78.46006121,76.57276512,71.97052568,72.05311522,75.90103688,38.63526079,101.6326834,52.0113873,29.68943732,19.39727925,11.95170725,22.76718267,70.56400082,35.34456824,51.17798378,74.95626262,60.95983862,7.141492333,51.83244331,56.3173055,75.43052679,146.5964301,53.03124296,18.270808,41.45619406,65.6211421,91.28496512,17.41513033,32.84060361,180.1953559
77.54575679,36.93023911,109.3715728,77.97424851,75.79206389,72.10778471,72.28143004,75.55070937,38.55713344,100.4507001,51.09669982,29.030376,19.20967075,11.86284928,22.69506981,70.28638262,34.93481691,51.52769002,75.5594541,60.05879762,7.045752945,51.80252436,56.43535677,75.23215139,145.7946176,52.84314709,18.16992249,41.1476969,64.51111384,90.67097015,17.52006422,32.91016234,180.1426632
78.17040021,38.162076,109.7701314,78.62254263,76.62281719,71.91576344,71.79016832,75.40605171,39.31843024,101.8576391,51.49399757,29.27911023,19.54762386,11.94535149,22.8407278,71.52641858,35.41618998,51.50278923,76.00639637,60.70514338,7.064725276,51.81803297,56.41921005,76.2035807,147.0656011,53.04886511,18.42003091,41.4589478,65.30946033,91.15756319,17.30826294,33.67330656,181.7976745
76.83555376,37.70416694,107.448731,76.62378892,75.38628027,71.47752725,71.64919461,72.2481508,39.29967096,98.61475368,51.08419667,28.69764515,19.23426263,11.76610594,22.60871665,71.61035017,35.10873188,50.74712719,75.29555971,60.6098556,6.920575408,48.96905431,56.38708915,75.40582779,145.4072664,51.27465973,18.51664294,41.25028833,64.33140348,90.52182804,17.07626608,33.08543782,174.1734531
77.31501521,37.59411338,108.8415263,77.11109373,75.74156708,70.9809388,71.30996548,72.3683555,39.40225888,99.1708941,51.49079929,29.91740794,19.25118858,11.88749635,22.79291686,71.38502861,35.36561441,49.90071216,75.00056896,60.81489004,6.880786143,48.66967697,56.8728251,75.88130959,147.2488235,51.49330139,18.61315204,41.66628773,65.20358055,91.21420322,17.17381669,33.60325742,175.1472836
79.4150987,38.70168257,109.8964434,78.29551431,77.53718751,72.19497311,72.41486904,71.8368569,40.20665027,100.0476191,52.08768985,30.23267379,19.75168014,11.95102931,23.24488395,72.3042928,36.37744548,51.16789662,76.53132073,61.319549,6.810490893,48.39218179,57.80749696,76.79645239,148.1570775,50.60747615,18.62053551,42.57185082,66.49652732,91.9923916,16.86136812,33.7584222,173.152333
78.51340466,37.74445614,110.6810595,77.40786581,77.13676955,72.10556047,72.11185625,70.04432232,40.15359905,99.11067626,51.71353128,29.6195011,19.91984575,11.96198069,23.05892131,71.21155981,35.92535366,50.53496139,76.39928196,60.43444478,6.673526072,47.39588582,57.24689171,77.35120379,148.4167015,50.16225125,18.35584825,42.6123527,65.82615018,90.96318233,16.29196587,33.43562478,168.8528012
