0001.HK,0002.HK,0003.HK,0005.HK,0006.HK,0011.HK,0012.HK,0016.HK,0017.HK,0027.HK,0066.HK,0101.HK,0175.HK,0267.HK,0291.HK,0316.HK,0386.HK,0388.HK,0669.HK,0688.HK,0700.HK,0762.HK,0823.HK,0857.HK,0868.HK,0881.HK,0883.HK,0939.HK,0941.HK,0960.HK,0981.HK,0992.HK,1038.HK,1044.HK,1093.HK,1109.HK,1177.HK,1211.HK,1299.HK,1378.HK,1398.HK,1928.HK,2007.HK,2020.HK,2313.HK,2318.HK,2319.HK,2331.HK,2382.HK,2388.HK,2628.HK,2688.HK,3968.HK,3988.HK
23.9222,34.9004,75.3491,62.0333,26.1352,101.332,13.0385,28.1672,3.1761,5.3315,4.7861,9.5545,1.0232,0.9157,12.1349,22.0051,1.3947,22.4077,5.5595,4.2674,30.8837,1.7614,5.7425,2.2432,1.2961,1.0926,15.8373,0.8474,15.4464,1.504,0.0361,3.8616,10.5119,17.8368,0.3811,2.6172,7.5748,7.1036,3.5833,0.4632,0.6889,3.1166,0.4233,0.6648,2.3692,8.403,3.1121,0.6052,0.4424,4.7249,2.9818,4.0638,2.7504,0.4929
23.8804,34.9599,76.2135,62.4267,26.1621,101.6358,13.3514,28.378,3.2321,5.2651,4.8048,9.9158,1.0078,0.9342,12.0255,22.3126,1.4131,22.3266,5.713,4.3441,31.0778,1.7197,5.8208,2.2836,1.3199,1.0942,16.0655,0.876,15.6127,1.5338,0.0367,3.8269,10.5927,17.9748,0.3812,2.686,7.8157,7.192,3.5579,0.4689,0.7098,3.0903,0.4322,0.6726,2.3801,8.4186,3.1468,0.5949,0.4353,4.7558,3.0247,4.1698,2.7899,0.5014
24.1878,34.8865,75.7997,62.4829,26.3588,102.4978,13.3975,28.4551,3.2683,5.3616,4.8587,9.7555,1.0001,0.9376,12.2789,22.139,1.4133,22.5869,5.7574,4.3399,30.8676,1.7109,5.7617,2.3145,1.3504,1.1115,15.8428,0.8828,15.4003,1.542,0.0355,4.0906,10.5268,17.6598,0.3851,2.6522,7.6306,7.1604,3.5388,0.4746,0.7211,3.1581,0.4396,0.648,2.3874,8.5581,3.0859,0.6188,0.4339,4.7564,3.0463,4.1073,2.802,0.5015
23.9278,34.8565,76.3004,62.4283,26.5917,102.2979,13.4403,28.3934,3.3005,5.3441,4.8315,9.6825,0.9688,0.9325,12.0538,21.5054,1.4151,22.5844,5.6261,4.1926,30.8373,1.7228,5.8038,2.2555,1.3705,1.0982,15.7797,0.8777,15.1668,1.4909,0.0348,4.0688,10.5817,17.67,0.3812,2.5291,7.5766,7.2791,3.5254,0.4745,0.7146,3.05,0.4249,0.6417,2.3489,8.4465,3.0311,0.5934,0.431,4.7758,2.9966,4.0788,2.7744,0.4981
24.3034,34.8845,75.7106,62.3843,26.486,102.1152,13.4706,28.3803,3.2812,5.35,4.8229,9.8088,0.9415,0.9276,11.8867,21.3804,1.4052,22.5642,5.5176,4.2639,30.8927,1.7259,5.7613,2.2157,1.3672,1.0811,15.6784,0.881,15.1076,1.4883,0.0355,4.1758,10.5823,17.9641,0.3832,2.5429,7.71,7.1709,3.4929,0.4746,0.7178,3.1781,0.4352,0.6402,2.3004,8.5023,3.0653,0.5875,0.4454,4.7362,3.0038,4.037,2.759,0.4981
25.1694,34.9113,76.0517,63.7645,26.1648,102.5884,13.8402,29.0542,3.3659,5.4346,4.8496,10.0605,0.9806,0.9426,12.1107,22.2139,1.4614,22.9504,5.8551,4.3019,31.3224,1.7981,5.7615,2.251,1.384,1.1445,16.0058,0.8894,15.3998,1.5286,0.0355,4.2612,10.5938,18.1354,0.3891,2.6112,7.5772,7.6056,3.5191,0.4886,0.7274,3.1782,0.4396,0.75,2.3248,8.5301,3.113,0.6589,0.4614,4.7762,3.0392,4.1632,2.7746,0.5049
25.6107,35.0897,76.1273,64.0421,26.1831,102.9527,14.1043,29.0946,3.3524,5.5296,4.8756,9.9875,0.9961,0.9641,12.7524,23.7004,1.4773,23.1619,5.5715,4.2729,31.4795,1.8369,5.8207,2.2648,1.3906,1.1707,16.2083,0.891,15.2777,1.5606,0.0374,4.403,10.6037,17.596,0.3851,2.6177,7.5497,7.8437,3.5056,0.4983,0.7305,3.3192,0.444,0.7128,2.4009,8.4876,3.1195,0.6455,0.4555,4.7856,3.0035,4.0927,2.7821,0.5031
25.5888,34.9091,76.3863,64.1884,25.9701,103.3354,13.987,29.3304,3.3136,5.6257,4.867,9.7725,0.9805,0.9708,13.0328,23.6765,1.4714,23.3775,5.7133,4.1879,31.5886,1.8431,5.8638,2.2908,1.3839,1.1998,16.2296,0.8894,15.3044,1.5285,0.0361,4.3392,10.6043,17.6947,0.3753,2.5837,7.7362,7.8768,3.4993,0.4899,0.7274,3.3665,0.4411,0.6789,2.335,8.5019,3.1265,0.6366,0.4498,4.8258,3.0108,3.9387,2.7823,0.5015
25.9837,35.1924,76.3782,65.0374,26.1389,105.4908,14.1037,29.8249,3.3848,5.7011,4.9108,9.9511,0.996,0.9773,12.7798,23.674,1.4832,23.3107,6.0826,4.2822,32.1215,1.8669,5.8118,2.3046,1.4006,1.2103,16.3505,0.8943,15.4744,1.539,0.0393,4.3601,10.738,17.5707,0.3792,2.6517,7.762,8.0606,3.5217,0.5165,0.7305,3.4267,0.4454,0.7267,2.3139,8.5979,3.0989,0.696,0.4555,4.8452,3.0668,4.0364,2.8287,0.5065
25.4918,35.1131,76.8852,65.0355,26.2883,105.2994,13.867,29.8241,3.3392,5.6193,4.9018,9.9687,1.0038,0.9773,12.8633,23.6228,1.4792,22.903,5.8213,4.2821,31.2089,1.8669,5.7603,2.3069,1.3903,1.201,16.1866,0.8909,15.5683,1.539,0.038,4.3742,10.7714,17.5458,0.3752,2.6618,7.6554,7.9626,3.5085,0.5137,0.7193,3.3122,0.4336,0.7313,2.3104,8.5769,3.0852,0.6945,0.4569,4.855,3.0808,4.1554,2.817,0.5048
25.7002,35.2668,76.879,65.2679,26.5649,104.53,13.9987,30.7289,3.3845,5.602,4.9014,10.0038,0.9803,0.9789,12.5826,23.4695,1.4771,22.8797,5.6576,4.187,30.6166,1.8637,5.8112,2.2809,1.3492,1.1679,16.0626,0.8925,15.5499,1.5013,0.0367,4.324,10.8155,17.4467,0.3752,2.59,7.708,7.8425,3.5344,0.494,0.7161,3.2311,0.4307,0.7035,2.3415,8.3687,3.1122,0.6632,0.4569,4.8447,3.0595,4.1761,2.8128,0.5047
26.0968,35.3436,77.8093,66.0734,26.8854,105.5721,14.1163,30.9618,3.3908,5.658,4.9633,9.9496,0.9842,0.9855,12.5821,24.7051,1.4991,23.0502,5.7009,4.1537,30.8835,1.9087,5.8195,2.2972,1.3321,1.0979,15.919,0.9059,15.884,1.4959,0.0367,4.3523,10.8487,17.5803,0.3732,2.5592,7.7077,7.853,3.5671,0.5038,0.7256,3.2714,0.4218,0.7112,2.3275,8.4168,3.112,0.6677,0.4497,4.9441,3.0875,4.0918,2.84,0.5098
25.653,34.4836,77.4716,65.4525,27.1433,105.1938,13.777,30.3479,3.3453,5.7848,4.99,9.86,0.9881,0.9622,12.3028,24.1,1.4871,22.7936,5.701,4.1727,30.8305,1.8426,5.7341,2.2808,1.3219,1.1243,15.6945,0.8992,15.6955,1.4772,0.0355,4.4164,10.8377,17.5318,0.4243,2.5558,7.761,7.5273,3.5606,0.501,0.7176,3.3657,0.4101,0.7174,2.3275,8.2855,3.0849,0.6483,0.4453,4.8047,2.9819,4.155,2.805,0.5064
25.5813,34.0121,77.2973,65.4487,27.1203,105.7584,13.8796,29.9364,3.3126,6.0378,4.9808,9.7337,0.9958,0.9505,12.1903,23.2658,1.487,22.6852,5.9727,4.1867,32.7857,1.8305,5.7252,2.2924,1.315,1.1493,15.6119,0.8941,14.9052,1.4744,0.0367,4.6935,10.7023,17.5796,0.4184,2.5386,7.9997,7.5812,3.5604,0.5052,0.708,3.4597,0.3983,0.7189,2.3066,8.2643,3.0847,0.6409,0.4453,4.8343,2.9887,4.1547,2.7542,0.5013
